ID,Name,Age,OVA,Nationality,Club,BP,Team & Contract,Height,Weight,foot,Joined,Contract,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength
135455,Maicon,33,77,Brazil,Roma,RWB,Roma 2013 ~ 2016,"6'0""",170lbs,Right,"Jul 16, 2013",2013 ~ 2016,377,69,80,380,368,74,83,71,70,78
135460,Alex,35,80,Brazil,Coritiba,CAM,Coritiba 2012 ~ 2014,"5'9""",161lbs,Left,"Oct 22, 2012",2012 ~ 2014,385,69,85,421,305,50,80,57,53,65
135475,Felipe Melo,33,78,Brazil,Inter,CB,Inter 2015 ~ 2017,"6'0""",176lbs,Right,"Aug 31, 2015",2015 ~ 2017,351,81,78,335,339,69,84,84,72,82
135507,Fernandinho,35,84,Brazil,Manchester City,CB,Manchester City 2013 ~ 2021,"5'10""",148lbs,Right,"Jul 1, 2013",2013 ~ 2021,364,71,86,381,363,67,83,84,78,76
135697,Sergio García,35,77,Spain,RCD Espanyol,CF,RCD Espanyol 2017 ~ 2019,"5'9""",159lbs,Right,"Jul 1, 2017",2017 ~ 2019,371,68,76,376,356,70,77,54,52,68
136130,Alex,33,79,Brazil,Milan,CB,Milan 2014 ~ 2016,"6'2""",203lbs,Right,"Jul 1, 2014",2014 ~ 2016,244,80,56,285,258,50,86,84,54,90
136138,Diego,30,79,Brazil,Fenerbahçe SK,CAM,Fenerbahçe SK 2014 ~ 2017,"5'8""",161lbs,Right,"Jul 10, 2014",2014 ~ 2017,363,53,83,419,385,75,74,75,65,61
136144,Robinho,34,77,Brazil,Sivasspor,CAM,Sivasspor 2018 ~ 2019,"5'8""",143lbs,Right,"Jan 23, 2018",2018 ~ 2019,326,40,75,380,383,74,55,57,59,43
137809,Vágner Love,34,76,Brazil,Beşiktaş JK,ST,Beşiktaş JK 2018 ~ 2020,"5'7""",159lbs,Right,"Jan 30, 2018",2018 ~ 2020,342,78,67,297,373,75,80,77,68,74
137823,Pedrinho,31,72,Brazil,Figueirense,CF,Figueirense 2007,"5'6""",137lbs,Left,,2007,267,55,76,282,213,70,67,,69,50
138110,Bruno Alves,38,72,Portugal,Parma,CB,Parma 2018 ~ 2021,"6'2""",183lbs,Right,"Jul 12, 2018",2018 ~ 2021,319,74,62,351,256,39,81,88,55,87
138449,Kaká,35,80,Brazil,,CAM,Brazil Free,"6'1""",183lbs,Right,"Jul 1, 2014",Brazil Free,365,52,81,389,332,63,76,53,44,70
139068,Nani,33,80,Portugal,Orlando City SC,LW,Orlando City SC 2019 ~ 2021,"5'10""",154lbs,Right,"Feb 19, 2019",2019 ~ 2021,367,62,80,415,385,78,85,35,66,65
140082,Rafael,38,73,Brazil,Spezia,GK,Spezia 2020 ~ 2021,"6'2""",176lbs,Right,"Sep 17, 2020",2020 ~ 2021,69,10,25,83,198,43,47,63,41,49
140384,Jô,32,74,Brazil,Nagoya Grampus,ST,Nagoya Grampus 2018 ~ 2022,"6'4""",201lbs,Left,"Jan 3, 2018",2018 ~ 2022,353,77,67,328,316,57,78,69,69,89
142454,Verza,33,66,Spain,FC Cartagena,CM,FC Cartagena 2019 ~ 2021,"5'11""",172lbs,Right,"Jul 19, 2019",2019 ~ 2021,312,49,69,369,256,34,80,51,54,65
146111,Mikel Rico,35,73,Spain,SD Huesca,CDM,SD Huesca 2019 ~ 2021,"5'10""",165lbs,Right,"Jul 7, 2019",2019 ~ 2021,312,58,73,324,297,46,80,79,78,78
146296,Andrés Fernández,33,78,Spain,SD Huesca,GK,SD Huesca 2020 ~ 2023,"6'2""",181lbs,Right,"Aug 28, 2020",2020 ~ 2023,90,12,35,108,313,58,51,77,39,74
146530,Dani Alves,35,82,Brazil,Paris Saint-Germain,CAM,Paris Saint-Germain 2017 ~ 2019,"5'8""",150lbs,Right,"Jul 12, 2017",2017 ~ 2019,368,71,83,405,403,75,86,80,74,55
146536,Jesús Navas,34,84,Spain,Sevilla FC,RB,Sevilla FC 2017 ~ 2021,"5'8""",132lbs,Right,"Jul 28, 2017",2017 ~ 2021,380,75,81,370,423,90,75,63,81,39
146562,Santi Cazorla,35,82,Spain,Spain,CM,Spain Free,"5'6""",143lbs,Right,"Jul 27, 2020",Free,381,60,86,421,372,64,77,50,60,59
146637,Dani Giménez,35,72,Spain,Deportivo de La Coruña,GK,Deportivo de La Coruña 2018 ~ 2021,"6'0""",170lbs,Right,"Jul 2, 2018",2018 ~ 2021,75,11,27,89,217,34,51,54,30,52
146692,Nenê,32,76,Brazil,West Ham United,LW,West Ham United 2015 ~ 2015,"5'11""",154lbs,Left,"Feb 26, 2015",2015 ~ 2015,373,66,80,396,358,67,72,62,58,65
146717,Anderson Silva,26,68,Brazil,Barnsley,CM,Barnsley 2010,"6'2""",179lbs,Right,,2010,254,51,73,284,198,71,61,,71,64
146748,Diego López,38,76,Spain,RCD Espanyol,GK,RCD Espanyol 2017 ~ 2021,"6'5""",196lbs,Right,"Jul 1, 2017",2017 ~ 2021,75,10,28,78,256,34,54,68,42,66
146760,Juanfran,33,80,Spain,Atlético Madrid,RB,Atlético Madrid 2011 ~ 2019,"5'11""",157lbs,Right,"Jan 1, 2011",2011 ~ 2019,320,59,77,358,376,74,68,68,80,74
146952,Iván Cuéllar,36,77,Spain,CD Leganés,GK,CD Leganés 2017 ~ 2021,"6'2""",168lbs,Left,"Jul 5, 2017",2017 ~ 2021,103,13,23,100,280,59,59,65,44,65
152718,Ricardo Vaz Tê,33,71,Portugal,Portimonense SC,ST,Portimonense SC 2020 ~ 2021,"6'2""",176lbs,Right,"Jan 27, 2020",2020 ~ 2021,342,76,66,320,347,75,79,70,67,79
154472,Jorge Molina,38,78,Spain,Granada CF,ST,Granada CF 2020 ~ 2022,"6'2""",159lbs,Right,"Aug 24, 2020",2020 ~ 2022,377,83,80,330,226,33,80,46,43,89
155862,Sergio Ramos,34,89,Spain,Real Madrid,CB,Real Madrid 2005 ~ 2021,"6'0""",181lbs,Right,"Aug 1, 2005",2005 ~ 2021,374,92,82,381,378,72,79,93,81,85
156272,Ederson,28,74,Brazil,Lazio,RW,Lazio 2012 ~ 2017,"5'11""",163lbs,Right,"Jul 1, 2012",2012 ~ 2017,341,63,77,389,357,69,78,66,60,69
157960,Manuel Fernandes,32,79,Portugal,Lokomotiv Moscow,CAM,Lokomotiv Moscow 2014 ~ 2020,"5'9""",165lbs,Right,"Jul 1, 2014",2014 ~ 2020,358,62,80,387,393,83,81,74,72,71
158144,Salva Sevilla,36,74,Spain,RCD Mallorca,CM,RCD Mallorca 2017 ~ 2021,"5'10""",157lbs,Right,"Aug 28, 2017",2017 ~ 2021,328,53,80,395,274,38,81,34,60,62
158625,Dante,36,76,Brazil,OGC Nice,CB,OGC Nice 2016 ~ 2021,"6'2""",201lbs,Left,"Aug 23, 2016",2016 ~ 2021,305,78,74,313,248,33,62,65,60,83
159566,Abraham González,33,66,Spain,Tiburones Rojos de Veracruz,CM,Tiburones Rojos de Veracruz 2019 ~ 2021,"5'10""",176lbs,Right,"Jul 13, 2019",2019 ~ 2021,294,45,73,340,280,60,81,32,63,67
160774,Fred,31,77,Brazil,Fluminense,ST,Fluminense 2009 ~ 2018,"6'1""",185lbs,Right,"Mar 1, 2009",2009 ~ 2018,370,80,71,348,302,51,79,72,53,83
161754,Javi García,33,75,Spain,Boavista FC,CB,Boavista FC 2020 ~ 2023,"6'2""",181lbs,Right,"Aug 19, 2020",2020 ~ 2023,323,82,78,309,279,47,79,91,72,85
162347,João Moutinho,33,83,Portugal,Wolverhampton Wanderers,CM,Wolverhampton Wanderers 2018 ~ 2022,"5'7""",134lbs,Right,"Jul 24, 2018",2018 ~ 2022,391,70,87,419,352,60,77,71,77,58
162895,Cesc Fàbregas,33,75,Spain,AS Monaco,CM,AS Monaco 2019 ~ 2022,"5'10""",168lbs,Right,"Jan 11, 2019",2019 ~ 2022,343,57,81,391,291,45,70,50,49,60
163873,Eduardo,36,72,Portugal,SC Braga,GK,SC Braga 2019 ~ 2021,"6'2""",185lbs,Right,"Jul 1, 2019",2019 ~ 2021,78,12,22,100,262,42,51,73,22,69
164029,Charles,35,78,Brazil,SD Eibar,ST,SD Eibar 2017 ~ 2020,"5'10""",168lbs,Right,"Jul 4, 2017",2017 ~ 2020,359,78,74,336,342,62,82,85,58,70
164079,Juninho,35,72,Brazil,Tigres U.A.N.L.,CB,Tigres U.A.N.L. 2010 ~ 2018,"5'11""",176lbs,Right,"Jul 1, 2010",2010 ~ 2018,329,74,68,337,227,30,80,75,67,80
164082,Adriano,35,74,Brazil,KAS Eupen,LB,KAS Eupen 2020 ~ 2021,"5'8""",165lbs,Left,"Aug 12, 2020",2020 ~ 2021,317,60,74,373,350,68,82,70,62,67
164169,Filipe Luís,32,85,Brazil,Atlético Madrid,LWB,Atlético Madrid 2015 ~ 2019,"6'0""",163lbs,Left,"Jul 28, 2015",2015 ~ 2019,353,72,80,386,372,76,71,69,89,73
164240,Thiago Silva,35,85,Brazil,Chelsea,CB,Chelsea 2020 ~ 2021,"6'0""",174lbs,Right,"Aug 28, 2020",2020 ~ 2021,322,81,80,349,332,57,71,90,71,82
164299,André Santos,30,75,Brazil,Flamengo,CAM,Flamengo 2013 ~ 2015,"5'11""",163lbs,Left,"Jul 19, 2013",2013 ~ 2015,351,71,79,365,356,70,82,75,61,76
164471,Xisco,34,71,Spain,Peñarol,ST,Peñarol 2019 ~ 2020,"6'0""",181lbs,Right,"Sep 11, 2019",2019 ~ 2020,340,79,59,283,245,33,72,72,68,91
164852,Bruno Gama,29,74,Portugal,AD Alcorcón,RM,AD Alcorcón 2018 ~ 2018,"5'9""",159lbs,Right,"Feb 17, 2018",2018 ~ 2018,331,46,73,389,364,76,65,59,65,57
164945,Nuno Mendes,28,71,Portugal,US Créteil-Lusitanos,CB,US Créteil-Lusitanos 2008,"6'2""",190lbs,Right,,2008,176,83,43,184,214,67,51,,78,81
165580,Diego Alves,31,82,Brazil,Valencia CF,GK,Valencia CF 2011 ~ 2019,"6'2""",183lbs,Left,"Jul 1, 2011",2011 ~ 2019,122,20,33,107,314,55,30,79,60,67
165769,Cássio,39,74,Brazil,Al Taawoun,GK,Al Taawoun 2018 ~ 2021,"6'1""",174lbs,Right,"Jul 1, 2018",2018 ~ 2021,73,12,25,81,237,34,51,70,30,64
165816,Jonathan,28,73,Brazil,Inter,RW,Inter 2011 ~ 2015,"5'7""",159lbs,Right,"Jul 1, 2011",2011 ~ 2015,319,53,68,346,410,86,79,59,79,70
166072,Danilo,36,74,Brazil,Bologna,CB,Bologna 2019 ~ 2021,"6'1""",165lbs,Right,"Jul 1, 2019",2019 ~ 2021,207,71,60,236,262,45,68,74,33,67
166074,Bebé,29,72,Portugal,Rayo Vallecano,LM,Rayo Vallecano 2018 ~ 2021,"6'3""",183lbs,Right,"Aug 31, 2018",2018 ~ 2021,335,57,69,350,365,77,88,71,77,91
168444,Ari,31,77,Brazil,Lokomotiv Moscow,ST,"Lokomotiv Moscow Jun 30, 2018 On Loan","5'11""",185lbs,Right,"Aug 20, 2013","Jun 30, 2018 On Loan",367,70,75,340,364,79,80,91,76,82
168530,Jardel,34,75,Brazil,SL Benfica,CB,SL Benfica 2011 ~ 2021,"6'4""",190lbs,Right,"Jan 1, 2011",2011 ~ 2021,255,80,64,222,232,44,58,76,33,89
168542,David Silva,34,86,Spain,Real Sociedad,CAM,Real Sociedad 2020 ~ 2022,"5'8""",148lbs,Left,"Aug 17, 2020",2020 ~ 2022,383,53,92,420,388,68,72,64,70,46
168607,Rafinha,34,79,Brazil,Olympiacos CFP,RB,Olympiacos CFP 2020 ~ 2022,"5'8""",148lbs,Right,"Aug 23, 2020",2020 ~ 2022,291,43,78,356,385,76,58,53,78,53
168609,Miranda,35,80,Brazil,Jiangsu Suning FC,CB,Jiangsu Suning FC 2019 ~ 2021,"6'1""",176lbs,Right,"Jul 26, 2019",2019 ~ 2021,304,79,83,288,329,62,70,83,66,79
168621,Zeca,31,76,Greece,FC København,CDM,FC København 2017 ~ 2023,"6'0""",148lbs,Right,"Aug 28, 2017",2017 ~ 2023,322,58,78,351,381,74,68,66,91,72
168898,Ahmed Hassan,37,64,Egypt,Egypt,CDM,Egypt Free,"5'9""",163lbs,Right,"Jul 1, 2011",Free,269,63,64,270,320,61,51,67,68,70
169195,Renato Augusto,32,83,Brazil,Beijing Sinobo Guoan FC,CM,Beijing Sinobo Guoan FC 2016 ~ 2021,"6'1""",190lbs,Right,"Jan 8, 2016",2016 ~ 2021,380,65,85,409,375,73,81,49,85,79
169941,Ukra,32,69,Portugal,Santa Clara,RW,Santa Clara 2018 ~ 2021,"5'9""",152lbs,Right,"Aug 8, 2018",2018 ~ 2021,325,61,67,360,364,74,73,73,47,61
170569,David Rodríguez,33,67,Spain,Racing Santander,ST,Racing Santander 2019 ~ 2020,"5'10""",165lbs,Right,"Aug 20, 2019",2019 ~ 2020,322,62,61,278,340,69,69,76,65,64
170733,Gervinho,33,78,Ivory Coast,Parma,LW,Parma 2018 ~ 2021,"5'10""",143lbs,Right,"Aug 17, 2018",2018 ~ 2021,353,63,73,337,421,91,69,59,73,52
170941,Javi Moyano,34,71,Spain,Real Valladolid CF,RB,Real Valladolid CF 2015 ~ 2021,"5'11""",157lbs,Right,"Aug 18, 2015",2015 ~ 2021,261,60,65,285,345,68,63,73,75,73
171018,Mario Suárez,33,74,Spain,Rayo Vallecano,CDM,Rayo Vallecano 2019 ~ 2022,"6'2""",176lbs,Right,"Jan 31, 2019",2019 ~ 2022,316,68,75,355,268,39,80,57,72,82
171189,Aythami Artiles,34,68,Spain,UD Las Palmas,CB,UD Las Palmas 2019 ~ 2021,"6'1""",181lbs,Right,"Jan 25, 2019",2019 ~ 2021,291,72,69,262,239,29,38,82,73,82
171579,Raúl García,33,80,Spain,Athletic Club de Bilbao,CM,Athletic Club de Bilbao 2015 ~ 2021,"6'0""",183lbs,Right,"Aug 31, 2015",2015 ~ 2021,391,90,83,392,294,45,85,92,75,85
171688,Fábio Coentrão,30,77,Portugal,Rio Ave FC,LM,Rio Ave FC 2018 ~ 2019,"5'10""",146lbs,Left,"Aug 31, 2018",2018 ~ 2019,349,63,78,364,380,77,69,79,82,66
171791,José Fonte,36,78,Portugal,LOSC Lille,CB,LOSC Lille 2018 ~ 2021,"6'3""",179lbs,Right,"Jul 15, 2018",2018 ~ 2021,258,80,68,245,238,32,39,73,59,82
171919,Naldo,36,77,Brazil,AS Monaco,CB,AS Monaco 2019 ~ 2020,"6'6""",194lbs,Right,"Jan 3, 2019",2019 ~ 2020,317,87,72,321,257,49,88,43,48,80
171992,Juan Carlos,31,65,Spain,CD Numancia,GK,CD Numancia 2018 ~ 2020,"6'0""",159lbs,Right,"Jul 23, 2018",2018 ~ 2020,92,14,28,94,280,52,47,70,43,57
172316,Coke,33,75,Spain,Levante UD,RB,Levante UD 2018 ~ 2022,"5'10""",163lbs,Right,"Jul 2, 2018",2018 ~ 2022,353,83,73,321,340,68,70,80,63,64
172685,José Crespo,33,73,Spain,PAOK,CB,PAOK 2016 ~ 2021,"6'1""",163lbs,Right,"Jul 1, 2016",2016 ~ 2021,266,62,67,277,336,71,51,71,76,74
173178,Manolo Reina,35,71,Spain,RCD Mallorca,GK,RCD Mallorca 2017 ~ 2022,"6'1""",179lbs,Right,"Jul 6, 2017",2017 ~ 2022,73,12,30,98,300,54,50,66,44,65
173608,Joselu,30,76,Spain,Deportivo Alavés,ST,Deportivo Alavés 2019 ~ 2022,"6'4""",176lbs,Right,"Jul 15, 2019",2019 ~ 2022,367,81,74,341,290,58,78,76,65,76
173818,Adrián López,32,75,Spain,CA Osasuna,CF,CA Osasuna 2019 ~ 2021,"6'0""",161lbs,Right,"Jul 30, 2019",2019 ~ 2021,362,73,74,359,355,73,76,71,49,68
175379,Pedro León,33,79,Spain,SD Eibar,RM,SD Eibar 2016 ~ 2021,"6'0""",161lbs,Right,"Jul 5, 2016",2016 ~ 2021,363,36,85,421,331,60,84,34,59,62
175391,Mateus,35,72,Angola,Boavista FC,LW,Boavista FC 2017 ~ 2020,"5'9""",165lbs,Right,"Jul 1, 2017",2017 ~ 2020,333,58,67,343,371,75,76,74,55,65
176029,Hélder Barbosa,33,69,Portugal,Hatayspor,CF,Hatayspor 2019 ~ 2021,"5'8""",148lbs,Left,"Aug 5, 2019",2019 ~ 2021,305,55,64,349,375,77,79,78,61,57
176266,Lucas Leiva,33,84,Brazil,Lazio,CDM,Lazio 2017 ~ 2022,"5'10""",172lbs,Right,"Jul 18, 2017",2017 ~ 2022,338,72,82,358,359,62,77,81,80,61
176495,Matheus,37,77,Brazil,Shijiazhuang Ever Bright F.C.,LW,Shijiazhuang Ever Bright F.C. 2016 ~ 2020,"5'9""",150lbs,Left,"Jul 1, 2016",2016 ~ 2020,310,54,65,340,374,86,77,58,69,70
176676,Marcelo,32,83,Brazil,Real Madrid,LB,Real Madrid 2007 ~ 2022,"5'9""",165lbs,Left,"Jan 1, 2007",2007 ~ 2022,374,73,81,408,409,81,81,76,74,76
176761,Rodrigão,31,70,Brazil,Santo André,ST,Santo André 2007,"6'0""",176lbs,Right,,2007,255,82,48,208,210,72,74,,72,76
177137,Nuno Coelho,31,73,Portugal,Os Belenenses,CB,Os Belenenses 2018 ~ 2021,"6'0""",152lbs,Right,"Jul 25, 2018",2018 ~ 2021,272,65,76,294,309,60,58,81,71,68
177533,Manuel da Costa,34,72,Morocco,Trabzonspor,CB,Trabzonspor 2020 ~ 2021,"6'3""",185lbs,Right,"Jan 31, 2020",2020 ~ 2021,229,75,65,236,250,49,72,81,65,83
177604,Nacho Monreal,34,80,Spain,Real Sociedad,LB,Real Sociedad 2019 ~ 2021,"5'11""",170lbs,Left,"Aug 31, 2019",2019 ~ 2021,338,72,77,346,358,68,74,74,67,64
177605,Jon Erice,32,68,Spain,Albacete BP,CDM,Albacete BP 2020 ~ 2020,"5'10""",159lbs,Left,"Jan 15, 2020",2020 ~ 2020,267,50,70,316,296,54,58,63,72,67
177610,Javi Martínez,31,81,Spain,FC Bayern München,CB,FC Bayern München 2012 ~ 2021,"6'4""",190lbs,Right,"Aug 29, 2012",2012 ~ 2021,321,85,77,299,248,34,76,81,67,83
177644,Kiko Casilla,33,74,Spain,Leeds United,GK,Leeds United 2019 ~ 2023,"6'3""",190lbs,Right,"Jan 17, 2019",2019 ~ 2023,97,13,34,127,266,44,54,69,40,76
177649,Rafinha,31,72,Brazil,Al Shabab,RW,Al Shabab 2013 ~ 2016,"5'6""",134lbs,Right,"Jul 2, 2013",2013 ~ 2016,343,56,71,369,378,79,78,65,64,68
178005,Rui Patrício,32,84,Portugal,Wolverhampton Wanderers,GK,Wolverhampton Wanderers 2018 ~ 2022,"6'3""",185lbs,Left,"Jun 18, 2018",2018 ~ 2022,85,11,34,103,304,53,58,79,45,77
178007,Miguel Veloso,34,77,Portugal,Hellas Verona,CM,Hellas Verona 2019 ~ 2021,"5'11""",174lbs,Left,"Jul 20, 2019",2019 ~ 2021,363,67,83,404,306,49,80,68,65,71
178088,Juan Mata,32,79,Spain,Manchester United,CAM,Manchester United 2014 ~ 2021,"5'7""",139lbs,Left,"Jan 25, 2014",2014 ~ 2021,360,56,84,412,364,61,74,61,60,34
178264,Nenê,36,68,Brazil,Moreirense FC,ST,Moreirense FC 2018 ~ 2023,"6'0""",172lbs,Right,"Aug 7, 2018",2018 ~ 2023,327,72,66,300,287,40,72,90,47,76
178311,Éder,33,79,Italy,Jiangsu Suning FC,ST,Jiangsu Suning FC 2018 ~ 2021,"5'10""",159lbs,Right,"Jul 13, 2018",2018 ~ 2021,370,66,78,379,423,88,79,50,81,65
178616,Adrián González,32,71,Spain,Real Zaragoza,CM,Real Zaragoza 2020 ~ 2022,"6'0""",172lbs,Left,"Sep 7, 2020",2020 ~ 2022,334,69,68,359,343,65,72,71,81,71
178750,Sergio Asenjo,31,82,Spain,Villarreal CF,GK,Villarreal CF 2014 ~ 2022,"6'2""",192lbs,Right,"Jun 30, 2014",2014 ~ 2022,105,13,39,113,312,59,58,73,41,73
179528,Xavi Torres,33,71,Spain,CD Lugo,CDM,CD Lugo 2020 ~ 2021,"6'0""",181lbs,Right,"Sep 18, 2020",2020 ~ 2021,297,58,72,318,290,55,80,65,72,82
179591,Pablo Hernández,35,75,Spain,Leeds United,CAM,Leeds United 2017 ~ 2022,"5'8""",146lbs,Right,"Jan 9, 2017",2017 ~ 2022,348,58,75,387,367,70,74,60,77,53
179844,Diego Costa,31,80,Spain,Atlético Madrid,ST,Atlético Madrid 2018 ~ 2021,"6'2""",183lbs,Right,"Jan 1, 2018",2018 ~ 2021,375,83,65,330,336,71,82,69,73,92
179944,David Luiz,33,80,Brazil,Arsenal,CB,Arsenal 2019 ~ 2021,"6'2""",190lbs,Right,"Aug 8, 2019",2019 ~ 2021,343,80,77,369,318,59,81,77,68,78
180175,Alexandre Pato,28,80,Brazil,Tianjin Quanjian FC,CF,Tianjin Quanjian FC 2017 ~ 2019,"5'11""",179lbs,Right,"Sep 28, 2017",2017 ~ 2019,367,69,75,365,399,84,76,78,67,72
180250,William,33,69,Brazil,Deportivo Toluca,CAM,Deportivo Toluca 2018 ~ 2021,"5'9""",159lbs,Left,"Jul 1, 2018",2018 ~ 2021,327,61,67,338,350,69,73,68,75,69
180334,Marcelo,33,76,Brazil,Olympique Lyonnais,CB,Olympique Lyonnais 2017 ~ 2021,"6'3""",187lbs,Right,"Jul 17, 2017",2017 ~ 2021,273,84,70,266,244,45,76,85,75,90
180359,Luisinho,35,73,Portugal,SD Huesca,LB,SD Huesca 2018 ~ 2021,"5'7""",137lbs,Left,"Jul 2, 2018",2018 ~ 2021,313,68,75,334,353,69,59,34,52,59
180403,Willian,31,82,Brazil,Arsenal,RW,Arsenal 2020 ~ 2023,"5'9""",170lbs,Right,"Aug 14, 2020",2020 ~ 2023,323,31,80,414,409,86,84,32,77,59
180432,Hernanes,33,78,Brazil,Hebei China Fortune FC,CM,Hebei China Fortune FC 2017 ~ 2019,"5'11""",170lbs,Right,"Feb 9, 2017",2017 ~ 2019,354,60,82,400,340,64,85,61,71,72
180714,Guilherme,34,78,Russia,Lokomotiv Moscow,GK,Lokomotiv Moscow 2007 ~ 2022,"6'5""",209lbs,Right,"Aug 22, 2007",2007 ~ 2022,89,13,39,101,235,37,54,62,34,71
180826,Luiz Adriano,31,78,Brazil,Spartak Moscow,ST,Spartak Moscow 2017 ~ 2020,"6'0""",176lbs,Right,"Jan 25, 2017",2017 ~ 2020,368,76,72,321,371,78,76,83,72,72
180955,Breno,25,75,Brazil,São Paulo,CB,São Paulo 2015 ~ 2017,"6'3""",187lbs,Right,"Jan 16, 2015",2015 ~ 2017,286,77,69,273,317,65,62,66,51,80
182002,Sidnei,30,79,Brazil,Real Betis,CB,Real Betis 2018 ~ 2022,"6'1""",176lbs,Right,"Aug 2, 2018",2018 ~ 2022,301,77,78,280,299,69,74,81,65,93
182105,Felipe,29,77,Brazil,Flamengo,GK,Flamengo 2011 ~ 2016,"6'3""",190lbs,Right,"Jan 1, 2011",2011 ~ 2016,122,25,22,125,269,52,34,74,33,69
182629,Beto,38,76,Portugal,Portugal,GK,Portugal Free,"6'0""",168lbs,Right,"Aug 1, 2020",Free,104,22,36,97,259,47,59,67,40,52
182632,Rúben Ribeiro,32,73,Portugal,Hatayspor,LW,Hatayspor 2020 ~ 2022,"5'9""",148lbs,Right,"Aug 18, 2020",2020 ~ 2022,340,63,71,382,371,72,80,67,63,60
182938,Luis Henrique,29,68,Brazil,Paraná,CB,Paraná 2008,"6'1""",181lbs,Right,,2008,239,67,69,234,199,68,65,,79,72
183353,Víctor Díaz,32,78,Spain,Granada CF,RB,Granada CF 2017 ~ 2022,"6'0""",159lbs,Right,"Jul 4, 2017",2017 ~ 2022,319,77,74,311,342,73,67,89,81,72
183491,Zanka,30,74,Denmark,Fenerbahçe SK,CB,Fenerbahçe SK 2019 ~ 2022,"6'3""",187lbs,Right,"Aug 12, 2019",2019 ~ 2022,262,75,66,226,318,63,64,73,68,83
183512,Yuri Berchiche,30,83,Spain,Athletic Club de Bilbao,LB,Athletic Club de Bilbao 2018 ~ 2022,"5'11""",176lbs,Left,"Jul 2, 2018",2018 ~ 2022,359,75,82,359,403,82,80,85,86,80
183518,Rui Fonte,30,70,Portugal,SC Braga,ST,SC Braga 2019 ~ 2022,"5'11""",161lbs,Right,"Aug 21, 2019",2019 ~ 2022,343,70,71,340,336,64,66,75,63,61
183520,Fran Mérida,30,76,Spain,RCD Espanyol,CDM,RCD Espanyol 2020 ~ 2022,"5'10""",163lbs,Left,"Aug 19, 2020",2020 ~ 2022,320,43,80,390,317,61,77,65,68,70
183666,Roberto,34,75,Spain,Real Valladolid CF,GK,Real Valladolid CF 2020 ~ 2023,"6'4""",212lbs,Right,"Aug 28, 2020",2020 ~ 2023,99,19,38,105,269,45,55,74,32,79
183853,Aarón Ñíguez,30,69,Spain,Málaga CF,RM,Málaga CF 2020 ~ 2020,"5'7""",159lbs,Right,"Mar 4, 2020",2020 ~ 2020,311,52,66,352,388,80,73,73,64,60
184009,Leandrinho,31,66,Brazil,Kardemir Karabükspor,RM,Kardemir Karabükspor 2018 ~ 2019,"5'10""",170lbs,Right,"Jan 18, 2018",2018 ~ 2019,290,60,54,297,368,76,61,66,66,60
184031,Licá,30,71,Portugal,Os Belenenses,CF,Os Belenenses 2018 ~ 2020,"5'11""",154lbs,Right,"Feb 1, 2018",2018 ~ 2020,335,58,66,341,364,77,74,72,73,67
