Name,season,market_val,ID
Rubén Sobrino,2016,1500000,208622
Andreas Pereira,2016,8000000,208450
Juanmi,2016,3000000,197891
Luis Alberto,2016,40000000,198706
Luis Alberto,2016,40000000,198706
Joselu,2016,6000000,173608
David Luiz,2016,4000000,179944
Marcos Alonso,2016,15000000,192638
Kenedy,2016,10000000,215639
Alexandre Pato,2016,1500000,180175
Borja Bastón,2016,2000000,194996
Éder,2016,700000,178311
Éder,2016,700000,178311
Kenedy,2016,10000000,215639
Juanfran,2016,1000000,146760
Juanfran,2016,1000000,146760
Mario Suárez,2016,300000,171018
Mika,2016,300000,198511
Adama Traoré,2016,30000000,213956
Fábio,2016,1800000,189680
Gabriel Jesus,2016,60000000,230666
José Fonte,2016,1500000,171791
José Fonte,2016,1500000,171791
Tiago Ilori,2016,1000000,205185
Kenedy,2016,10000000,215639
Oscar,2016,18000000,188152
Kenedy,2016,10000000,215639
Nathan,2017,2000000,222060
Nathan,2017,2000000,222060
Pau López,2017,10000000,221087
Bernardo Silva,2017,70000000,218667
Ederson,2017,50000000,156272
Danilo,2017,20000000,166072
Douglas Luiz,2017,35000000,236499
Rubén Sobrino,2017,1500000,208622
Pablo Marí,2017,5000000,206654
Nolito,2017,1500000,199561
Rubén Sobrino,2017,1500000,208622
Jesús Navas,2017,3000000,146536
Pablo Marí,2017,5000000,206654
Douglas Luiz,2017,35000000,236499
Aleix García,2017,1800000,228813
Lucas Leiva,2017,3500000,176266
Gabriel Paulista,2017,15000000,201305
Lucas Pérez,2017,2500000,199354
Joel Pereira,2017,300000,212710
Andreas Pereira,2017,8000000,208450
Andreas Pereira,2017,8000000,208450
Domingos Quina,2017,3000000,235450
Adrien Silva,2017,3000000,184826
Jesé,2017,1500000,202515
Joselu,2017,6000000,173608
Joselu,2017,6000000,173608
Marc Muniesa,2017,2400000,192766
Roque Mesa,2017,2500000,204277
Renato Sanches,2017,30000000,230767
Jordi Amat,2017,1400000,198198
Borja Bastón,2017,2000000,194996
Richarlison,2017,55000000,231943
Juanfran,2017,1000000,146760
Mario Suárez,2017,300000,171018
Juanfran,2017,1000000,146760
Mario Suárez,2017,300000,171018
Joselu,2017,6000000,173608
Zanka,2017,1500000,183491
Emerson,2017,14000000,210736
Nathan,2017,2000000,222060
Diego Costa,2017,6000000,179844
Kenedy,2017,10000000,215639
Nathan,2017,2000000,222060
Lucas Moura,2017,25000000,200949
João Mário,2017,12000000,212814
José Fonte,2017,1500000,171791
Roque Mesa,2017,2500000,204277
Kenedy,2017,10000000,215639
Pablo Marí,2018,5000000,206654
Pablo Marí,2018,5000000,206654
Fred,2018,22000000,160774
Diogo Dalot,2018,10000000,234574
Andreas Pereira,2018,8000000,208450
Joel Pereira,2018,300000,212710
Alisson,2018,60000000,212831
Fabinho,2018,60000000,209499
Jorginho,2018,45000000,205498
Kenedy,2018,10000000,215639
Nathan,2018,2000000,222060
Nathan,2018,2000000,222060
Lucas Pérez,2018,2500000,199354
Lucas Pérez,2018,2500000,199354
Santi Cazorla,2018,2000000,146562
Richarlison,2018,55000000,231943
André Gomes,2018,20000000,211575
Bernard,2018,12000000,205525
Joel Robles,2018,4000000,195668
Ricardo Pereira,2018,30000000,210243
Kenedy,2018,10000000,215639
Diego Rico,2018,2000000,220414
Felipe Anderson,2018,10000000,201995
Lucas Pérez,2018,2500000,199354
Xande Silva,2018,800000,228768
Domingos Quina,2018,3000000,235450
João Mário,2018,12000000,212814
Domingos Quina,2018,3000000,235450
Richarlison,2018,55000000,231943
Bernardo,2018,4000000,204347
Adama Traoré,2018,30000000,213956
Rui Patrício,2018,10000000,178005
Diogo Jota,2018,45000000,224458
João Moutinho,2018,4000000,162347
Léo Bonatini,2018,600000,220685
Rúben Vinagre,2018,5000000,235172
Léo Bonatini,2018,600000,220685
Roderick Miranda,2018,1500000,193143
Rafa Mir,2018,16000000,231628
Léo Bonatini,2018,600000,220685
Diogo Jota,2018,45000000,224458
Rúben Vinagre,2018,5000000,235172
Sergio Rico,2018,5000000,206652
Marcelo Djaló,2018,500000,220191
Rui Fonte,2018,2000000,183518
Joel Pereira,2018,300000,212710
Joel Pereira,2018,300000,212710
Cesc Fàbregas,2018,5000000,162895
Denis Suárez,2018,12000000,205192
Adrien Silva,2018,3000000,184826
Léo Bonatini,2018,600000,220685
Marcelo Djaló,2018,500000,220191
João Cancelo,2019,55000000,210514
Rodri,2019,70000000,198631
Pedro Porro,2019,20000000,243576
Angeliño,2019,35000000,220651
Douglas Luiz,2019,35000000,236499
Pablo Marí,2019,5000000,206654
Aleix García,2019,1800000,228813
Danilo,2019,20000000,166072
Douglas Luiz,2019,35000000,236499
Pablo Marí,2019,5000000,206654
Pedro Porro,2019,20000000,243576
Aleix García,2019,1800000,228813
Adrián,2019,1000000,194911
Alberto Moreno,2019,2500000,205566
David Luiz,2019,4000000,179944
Kenedy,2019,10000000,215639
David Luiz,2019,4000000,179944
Gabriel Martinelli,2019,22000000,251566
Dani Ceballos,2019,20000000,222509
Nacho Monreal,2019,1500000,177604
Denis Suárez,2019,12000000,205192
Joel Pereira,2019,300000,212710
Joel Pereira,2019,300000,212710
Ander Herrera,2019,13000000,191740
Joel Pereira,2019,300000,212710
Pedro Neto,2019,35000000,238616
Bruno Jordão,2019,2500000,240175
Rafa Mir,2019,16000000,231628
Roderick Miranda,2019,1500000,193143
Ivan Cavaleiro,2019,7000000,212267
Rafa Mir,2019,16000000,231628
Hélder Costa,2019,8000000,221743
Léo Bonatini,2019,600000,220685
Roderick Miranda,2019,1500000,193143
André Gomes,2019,20000000,211575
André Gomes,2019,20000000,211575
Ayoze Pérez,2019,18000000,215590
Pablo Fornals,2019,20000000,226456
Roberto,2019,700000,183666
Pedro Obiang,2019,5000000,200054
Lucas Pérez,2019,2500000,199354
Adrián,2019,1000000,194911
Joelinton,2019,17000000,223334
Ayoze Pérez,2019,18000000,215590
Joselu,2019,6000000,173608
Nélson Oliveira,2019,2000000,189303
Ivo Pinto,2019,800000,197860
Wesley,2019,10000000,232381
Douglas Luiz,2019,35000000,236499
Angeliño,2019,35000000,220651
Gedson Fernandes,2019,12500000,234568
Pablo Marí,2019,5000000,206654
Bruno Fernandes,2019,90000000,212198
Daniel Podence,2019,25000000,226766
Ivan Cavaleiro,2019,7000000,212267
Rafa Mir,2019,16000000,231628
Ivan Cavaleiro,2019,7000000,212267
Rafa Mir,2019,16000000,231628
Roberto,2019,700000,183666
João Pedro,2019,10000000,199254
Borja Bastón,2019,2000000,194996
Gabriel,2020,25000000,201931
Pablo Marí,2020,5000000,206654
Willian,2020,9000000,180403
Pablo Marí,2020,5000000,206654
Borja Bastón,2020,2000000,194996
Thiago Silva,2020,3000000,164240
Nathan,2020,2000000,222060
Kenedy,2020,10000000,215639
Nathan,2020,2000000,222060
Willian,2020,9000000,180403
Pedro,2020,5000000,189505
Kenedy,2020,10000000,215639
Allan,2020,22000000,199914
João Virgínia,2020,1000000,237704
Rodrigo,2020,18000000,198329
Diego Llorente,2020,20000000,212602
Raphinha,2020,32000000,233419
Hélder Costa,2020,8000000,221743
Hélder Costa,2020,8000000,221743
Adrien Silva,2020,3000000,184826
Adrien Silva,2020,3000000,184826
Diogo Jota,2020,45000000,224458
Thiago,2020,25000000,189509
Rúben Dias,2020,75000000,239818
Ferran Torres,2020,50000000,241461
Aleix García,2020,1800000,228813
Pedro Porro,2020,20000000,243576
David Silva,2020,5000000,168542
Aleix García,2020,1800000,228813
Pedro Porro,2020,20000000,243576
Alex Telles,2020,20000000,212462
Joel Pereira,2020,300000,212710
Diogo Dalot,2020,10000000,234574
Joel Pereira,2020,300000,212710
Andreas Pereira,2020,8000000,208450
Matheus Pereira,2020,15000000,228414
Matheus Pereira,2020,15000000,228414
Roberto,2020,700000,183666
Roberto,2020,700000,183666
Xande Silva,2020,800000,228768
Felipe Anderson,2020,10000000,201995
Fábio Silva,2020,25000000,252037
Nélson Semedo,2020,28000000,227928
Marçal,2020,1800000,207707
Roderick Miranda,2020,1500000,193143
Léo Bonatini,2020,600000,220685
Hélder Costa,2020,8000000,221743
Diogo Jota,2020,45000000,224458
Hélder Costa,2020,8000000,221743
Rúben Vinagre,2020,5000000,235172
Léo Bonatini,2020,600000,220685
Bruno Jordão,2020,2500000,240175
Bernardo,2020,4000000,204347
Gedson Fernandes,2020,12500000,234568
Willian José,2020,18000000,195093
Rúben Vinagre,2020,5000000,235172
Roderick Miranda,2020,1500000,193143
Rúben Vinagre,2020,5000000,235172
Nuno Tavares,2021,7000000,251530
Willian,2021,9000000,180403
David Luiz,2021,4000000,179944
Dani Ceballos,2021,20000000,222509
Wesley,2021,10000000,232381
Zanka,2021,1500000,183491
Bernardo,2021,4000000,204347
Bernardo,2021,4000000,204347
Kenedy,2021,10000000,215639
Emerson,2021,14000000,210736
Kenedy,2021,10000000,215639
Bernard,2021,12000000,205525
João Virgínia,2021,1000000,237704
Junior Firpo,2021,12000000,241184
Pablo Hernández,2021,800000,179591
Kiko Casilla,2021,800000,177644
Hélder Costa,2021,8000000,221743
Angeliño,2021,35000000,220651
Angeliño,2021,35000000,220651
Cristiano Ronaldo,2021,45000000,20801
Andreas Pereira,2021,8000000,208450
Diogo Dalot,2021,10000000,234574
Andreas Pereira,2021,8000000,208450
Joel Pereira,2021,300000,212710
Lyanco,2021,5000000,230672
Bryan Gil,2021,30000000,246785
Domingos Quina,2021,3000000,235450
Domingos Quina,2021,3000000,235450
Domingos Quina,2021,3000000,235450
Xande Silva,2021,800000,228768
Felipe Anderson,2021,10000000,201995
Felipe Anderson,2021,10000000,201995
Xande Silva,2021,800000,228768
José Sá,2021,7500000,212442
Bruno Jordão,2021,2500000,240175
Rúben Vinagre,2021,5000000,235172
Rafa Mir,2021,16000000,231628
Rafa Mir,2021,16000000,231628
Rui Patrício,2021,10000000,178005
Rúben Vinagre,2021,5000000,235172
Willian José,2021,18000000,195093
José Crespo,2009,600000,172685
Henrique,2009,400000,229686
Xisco,2009,100000,164471
Pedro León,2009,1000000,175379
David Rodríguez,2009,150000,170569
Xavi Torres,2009,100000,179528
Edu Ramos,2009,300000,193757
Adrián López,2009,700000,173818
Aarón Ñíguez,2009,200000,183853
Jordi Alba,2009,15000000,189332
Aarón Ñíguez,2009,200000,183853
Thiago Carleto,2009,400000,187572
Rubén Castro,2009,100000,115909
Aythami Artiles,2009,100000,171189
Adrián López,2009,700000,173818
Aythami Artiles,2009,100000,171189
Rubén Castro,2009,100000,115909
Víctor Ruiz,2009,2200000,193469
Javi López,2009,350000,195361
Nenê,2009,750000,146692
Sergio Asenjo,2009,9000000,178750
Roberto,2009,700000,183666
Diego Costa,2009,6000000,179844
Diego Costa,2009,6000000,179844
Mikel San José,2009,1000000,185132
Cristiano Ronaldo,2009,45000000,20801
Javi García,2009,600000,161754
José Crespo,2009,600000,172685
Diego Costa,2009,6000000,179844
Sergio Asenjo,2009,9000000,178750
Pedro León,2009,1000000,175379
Jon Erice,2009,100000,177605
Jon Erice,2009,100000,177605
Aythami Artiles,2009,100000,171189
Aythami Artiles,2009,100000,171189
Henrique,2009,400000,229686
Henrique,2009,400000,229686
Javi López,2009,100000,195361
Thiago Carleto,2009,400000,187572
Thiago Carleto,2009,400000,187572
Dídac Vilà,2009,700000,191055
Jordi Amat,2009,1400000,198198
Joel Robles,2009,4000000,195668
Roberto,2009,700000,183666
Roberto,2009,700000,183666
Álvaro Vázquez,2010,400000,201403
Kiko Casilla,2010,800000,177644
Kiko Casilla,2010,800000,177644
Pedro León,2010,1000000,175379
Adrián González,2010,500000,178616
Xavi Torres,2010,100000,179528
Marc Mateu,2010,800000,192634
David Rodríguez,2010,150000,170569
Xavi Torres,2010,100000,179528
Javi López,2010,100000,195361
Juan Carlos,2010,150000,171992
Aarón Ñíguez,2010,200000,183853
David Silva,2010,5000000,168542
Aarón Ñíguez,2010,200000,183853
Rubén Pérez,2010,1500000,190156
Aythami Artiles,2010,100000,171189
Rubén Castro,2010,100000,115909
Filipe Luís,2010,1500000,164169
Rubén Castro,2010,100000,115909
Filipe Luís,2010,1500000,164169
Mario Suárez,2010,300000,171018
Diego Costa,2010,6000000,179844
Fran Mérida,2010,1000000,183520
Rubén Pérez,2010,1500000,190156
Roberto,2010,700000,183666
Roberto,2010,700000,183666
Rubén Pérez,2010,1500000,190156
Adrián González,2010,500000,178616
Osmar,2010,800000,193847
Xisco,2010,100000,164471
José Crespo,2010,600000,172685
Pedro León,2010,1000000,175379
José Carlos,2010,100000,222466
José Crespo,2010,600000,172685
Adriano,2010,350000,106019
José Crespo,2010,600000,172685
Juan Cala,2010,900000,186519
Andrés Fernández,2010,600000,146296
João Victor,2010,475000,240046
Sergio Tejera,2010,500000,184417
Sergi Enrich,2010,1800000,194879
Tomás Pina,2010,1200000,198368
Mario Suárez,2010,300000,171018
Roberto,2010,700000,183666
Adriano,2010,350000,106019
Mikel San José,2010,1000000,185132
Raúl Fernández,2010,200000,186680
Iñigo Pérez,2010,600000,196942
Mikel San José,2010,1000000,185132
Koke,2010,60000000,193747
Sergio Asenjo,2010,9000000,178750
Xisco,2010,100000,164471
Manuel Fernandes,2010,200000,157960
Mario Gaspar,2010,5000000,192789
Sergio Asenjo,2010,9000000,178750
Recio,2010,1000000,201893
Juanmi,2010,3000000,197891
Edu Ramos,2010,300000,193757
Wellington Silva,2010,850000,198635
Marc Mateu,2010,800000,192634
Marc Mateu,2010,800000,192634
Víctor Ruiz,2010,2200000,193469
Dídac Vilà,2010,700000,191055
José Carlos,2010,100000,222466
Iñigo Pérez,2010,600000,196942
Henrique,2011,400000,229686
David Ferreiro,2011,1000000,205212
Júlio César,2011,250000,48717
David Ferreiro,2011,1000000,205212
Álex Cruz,2011,150000,189136
Pablo Sarabia,2011,25000000,198950
Pedro León,2011,1000000,175379
Rubén Pérez,2011,1500000,190156
Marc Mateu,2011,800000,192634
Manolo Reina,2011,200000,173178
Santi Cazorla,2011,2000000,146562
Isco,2011,15000000,197781
Nacho Monreal,2011,1500000,177604
Joaquín,2011,1500000,45186
Javi López,2011,100000,195361
Edu Ramos,2011,300000,193757
Edu Ramos,2011,300000,193757
Javi López,2011,100000,195361
Sergio Asenjo,2011,9000000,178750
Santi Cazorla,2011,2000000,146562
Juan Carlos,2011,150000,171992
Víctor Ruiz,2011,2200000,193469
Diego Alves,2011,1500000,165580
Paco Alcácer,2011,15000000,200454
Manuel Fernandes,2011,200000,157960
Aarón Ñíguez,2011,200000,183853
Juan Mata,2011,4000000,178088
Joaquín,2011,1500000,45186
Manuel Fernandes,2011,200000,157960
Aarón Ñíguez,2011,200000,183853
Rui Fonte,2011,2000000,183518
Dídac Vilà,2011,700000,191055
Kiko Casilla,2011,800000,177644
José Callejón,2011,1500000,185020
Iñigo Martínez,2011,25000000,204525
Sílvio,2011,300000,189530
Pizzi,2011,10000000,197965
Miranda,2011,1000000,168609
Adrián López,2011,700000,173818
Diego,2011,1300000,136138
Dani Pacheco,2011,200000,188554
Borja Bastón,2011,2000000,194996
Sergio Asenjo,2011,9000000,178750
Rubén Pérez,2011,1500000,190156
Borja Bastón,2011,2000000,194996
Raúl García,2011,2500000,171579
Rubén Pérez,2011,1500000,190156
Fran Mérida,2011,1000000,183520
Dani Pacheco,2011,200000,188554
Fábio Coentrão,2011,400000,171688
José Callejón,2011,1500000,185020
Pedro León,2011,1000000,175379
Coke,2011,800000,172316
Luis Alberto,2011,40000000,198706
José Carlos,2011,100000,222466
Juan Cala,2011,900000,186519
José Carlos,2011,100000,222466
Juan Cala,2011,900000,186519
Dani Pacheco,2011,200000,188554
Coke,2011,800000,172316
Borja García,2011,1500000,194761
Juan Carlos,2011,300000,171992
Raúl García,2011,2500000,171579
Andrés Fernández,2011,600000,146296
Nacho Monreal,2011,1500000,177604
Sergi Enrich,2011,1800000,194879
Miguel Lopes,2011,100000,188840
Roberto,2011,700000,183666
Juankar,2011,700000,201509
Ander Herrera,2011,13000000,191740
Cesc Fàbregas,2011,5000000,162895
Thiago,2011,25000000,189509
Henrique,2011,400000,229686
Henrique,2011,400000,229686
Ander Herrera,2011,13000000,191740
Ibai Gómez,2011,800000,199416
Iñigo Pérez,2011,600000,196942
Gabriel Silva,2011,1500000,197688
Gabriel Silva,2011,1500000,197688
Marc Mateu,2011,800000,192634
Wellington Silva,2011,850000,198635
Joselu,2011,200000,173608
Rubén Pardo,2011,2400000,204523
Pizzi,2011,10000000,197965
Fran Mérida,2011,1000000,183520
Diego Costa,2011,6000000,179844
Joel Robles,2011,4000000,195668
Pizzi,2011,10000000,197965
Juan Cala,2011,900000,186519
Diego Costa,2011,6000000,179844
Joel Robles,2011,4000000,195668
Isaac Cuenca,2011,700000,200735
Isma López,2012,300000,193796
Javi Martínez,2012,4500000,177610
Allan,2012,22000000,199914
Álex Cruz,2012,150000,189136
David Ferreiro,2012,1000000,205212
Gabriel Silva,2012,1500000,197688
Gabriel Silva,2012,1500000,197688
David Ferreiro,2012,1000000,205212
Álex Cruz,2012,150000,189136
Allan,2012,22000000,199914
Júlio César,2012,250000,48717
Álvaro Vázquez,2012,400000,201403
Xavi Torres,2012,100000,179528
Paco Alcácer,2012,15000000,200454
Hugo Fraile,2012,200000,190021
Rubén Pérez,2012,1500000,190156
Xavi Torres,2012,100000,179528
Rubén García,2012,8000000,211022
Marc Mateu,2012,800000,192634
Xavi Torres,2012,100000,179528
Marc Mateu,2012,800000,192634
Xavi Torres,2012,100000,179528
Xavi Torres,2012,100000,179528
Javi López,2012,100000,195361
Santi Cazorla,2012,2000000,146562
Xavi Torres,2012,100000,179528
Javi López,2012,100000,195361
Jonathan Viera,2012,2000000,198164
Jordi Alba,2012,15000000,189332
Pablo Hernández,2012,800000,179591
Paco Alcácer,2012,15000000,200454
David Rodríguez,2012,150000,170569
Nélson Oliveira,2012,2000000,189303
Tiago Pinto,2012,200000,194979
André Santos,2012,200000,164299
Pizzi,2012,10000000,197965
Roderick Miranda,2012,1500000,193143
Xisco,2012,100000,164471
Sergio Tejera,2012,500000,184417
Dani Nieto,2012,400000,204474
Álvaro Vázquez,2012,400000,201403
Dani Nieto,2012,400000,204474
Jordi Amat,2012,1400000,198198
Dídac Vilà,2012,700000,191055
Yuri Berchiche,2012,8000000,183512
Javi Ros,2012,300000,194329
Yuri Berchiche,2012,8000000,183512
Joel Robles,2012,4000000,195668
Diego Costa,2012,6000000,179844
Rubén Pérez,2012,1500000,190156
Borja Bastón,2012,2000000,194996
Dani Pacheco,2012,200000,188554
Raúl García,2012,2500000,171579
Fran Mérida,2012,1000000,183520
Borja Bastón,2012,2000000,194996
Pizzi,2012,10000000,197965
Rubén Pérez,2012,1500000,190156
Diego,2012,1300000,136138
Dani Pacheco,2012,200000,188554
Diego López,2012,500000,146748
Cicinho,2012,400000,208866
Luis Alberto,2012,40000000,198706
Adrián González,2012,500000,178616
José Carlos,2012,100000,222466
Jordi Amat,2012,1400000,198198
Joel Robles,2012,4000000,195668
Diego Costa,2012,6000000,179844
Dani Pacheco,2012,200000,188554
Roberto Torres,2012,5000000,206651
Raúl García,2012,2500000,171579
Rubén Miño,2012,100000,194647
Ximo Navarro,2012,1800000,198023
Sergi Enrich,2012,1800000,194879
Sergi Enrich,2012,1800000,194879
Sergio Tejera,2012,500000,184417
Salvador Agra,2012,600000,204737
Rubén Pérez,2012,1500000,190156
Juankar,2012,700000,201509
Álex Martínez,2012,200000,202646
Adrián,2012,1000000,194911
José Mari,2012,500000,210868
Juankar,2012,700000,201509
Jordi Alba,2012,15000000,189332
Cristian Tello,2012,7500000,200315
Henrique,2012,400000,229686
Henrique,2012,400000,229686
Sílvio,2012,300000,189530
Joel Robles,2012,4000000,195668
Rui Fonte,2012,2000000,183518
Sílvio,2012,300000,189530
Roderick Miranda,2012,1500000,193143
Nacho Monreal,2012,1500000,177604
Recio,2012,1000000,201893
Juanmi,2012,3000000,197891
Simão,2012,350000,4077
Diego López,2012,500000,146748
Isaac Cuenca,2012,700000,200735
Salvador Agra,2012,600000,204737
Beto,2012,200000,182629
Alberto Moreno,2012,2500000,205566
Diego López,2012,500000,146748
Nolito,2012,1500000,199561
Naldo,2012,900000,171919
Recio,2012,1000000,201893
Naldo,2012,900000,171919
Roberto,2013,700000,183666
Óliver Torres,2013,9000000,208777
Joel Robles,2013,4000000,195668
Sílvio,2013,300000,189530
Borja Bastón,2013,2000000,194996
Pizzi,2013,10000000,197965
Rubén Pérez,2013,1500000,190156
Pizzi,2013,10000000,197965
Joel Robles,2013,4000000,195668
Borja Bastón,2013,2000000,194996
Roberto,2013,700000,183666
Sílvio,2013,300000,189530
Rubén Pérez,2013,1500000,190156
Sergio Asenjo,2013,9000000,178750
Nolito,2013,1500000,199561
Charles,2013,400000,164029
Rafinha,2013,12000000,168607
Santi Mina,2013,15000000,212623
David Costas,2013,1200000,219848
David Rodríguez,2013,150000,170569
Iago Aspas,2013,9000000,192629
Oriol Romeu,2013,6000000,199576
Juan Bernat,2013,13000000,205069
Paco Alcácer,2013,15000000,200454
Jonathan Viera,2013,2000000,198164
Tomás Pina,2013,1200000,198368
Gabriel Paulista,2013,15000000,201305
Sergio Asenjo,2013,9000000,178750
Joselu,2013,200000,173608
Joselu,2013,200000,173608
Diego Mariño,2013,800000,199493
Sergi Darder,2013,7000000,202648
Juanmi,2013,3000000,197891
Recio,2013,1000000,201893
Isco,2013,15000000,197781
Joaquín,2013,1500000,45186
Recio,2013,1000000,201893
