Player Name,player_id,age,Club,market_value,fee,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Passes%,Progressive Carries,Tackles,Interceptions,Blocks,gDuels Won,gDuels %,aDuels Won,aDuels %,Yellow Cards,Red Cards,Fouls,Clean Sheets,Saves,Saves %,Goals Conceded,injury_count,days_injured,days_since_injury,injury_severity,sentiment_polarity,mention_frequency,sentiment_trend_30d,sentiment_trend_90d,sentiment_score,contract_years_remaining,contract_status,market_value_change_rate,club_financial_strength,league_competitiveness,value_to_fee_ratio,goals_per_90,assists_per_90,goals_per_shot,pass_completion_rate,defensive_actions_per_90,age_adjusted_goals,age_adjusted_assists,is_forward,is_midfielder,is_defender,is_goalkeeper,goal_assist_product,shot_conversion_product,injury_risk_score,age_injury_interaction,contract_urgency,market_momentum,is_summer_window,is_winter_window,season_phase,months_to_summer_window,sentiment_volatility,positive_sentiment_ratio
alexis mac allister,534033.0,24.0,Liverpool,65000000.0,42000000.0,MID,35,2607,5,5,38,17,0.17,0.86,209,95,11,2,107,0.49,10,0.4,6,0,62,9,0,0.0,0,0.0,0.0,365.0,0.0,0.2348764213148603,660,0.17629917488514862,0.030978484916769394,0.3622156927226,3.8,long-term,-0.1946220966104383,9.0,10.0,1.5476190476190477,0.1726121979286536,0.1726121979286536,0.131578947368421,0.86,3.7284234752589183,0.1380897583429229,0.1380897583429229,0.0,1.0,0.0,0.0,25.0,6.460000000000001,0.04,0.9600000000000002,0.2325581395348837,-0.1751598869493945,0.0,1.0,mid,4.0,0.14532068996837924,1
timo werner,170527.0,24.0,Tottenham Hotspur,64000000.0,53000000.0,MID,18,508,0,3,8,0,0.0,0.0,0,6,0,0,0,0.0,0,0.0,0,0,3,0,0,0.0,0,0.0,0.0,365.0,0.0,0.21671900156516594,681,-0.10208637909309866,-0.02616008317547959,0.3557992051915202,0.9,expiring,-0.0324730375893851,7.0,10.0,1.2075471698113207,0.0,0.5314960629921259,0.0,0.0,1.062992125984252,0.0,0.4251968503937007,0.0,1.0,0.0,0.0,0.0,0.0,0.04,0.9600000000000002,0.7142857142857143,-0.0227311263125695,0.0,1.0,mid,4.0,0.07592629591761907,1
james maddison,294057.0,26.0,Tottenham Hotspur,60000000.0,46300000.0,MID,31,1816,9,7,39,4,0.07,0.82,128,31,41,41,96,0.63,103,0.75,6,0,32,0,0,0.0,0,0.0,0.0,365.0,0.0,0.14443743605321835,611,-0.006474238219613628,0.0916922986870093,0.2842230883541359,1.7,mid-term,0.2034224069553796,7.0,10.0,1.2958963282937366,0.4460352422907489,0.3469162995594713,0.2307692307692307,0.82,5.600220264317181,0.4162995594713656,0.3237885462555065,0.0,1.0,0.0,0.0,63.0,2.7300000000000004,0.06,1.56,0.4545454545454545,0.1423956848687657,0.0,1.0,mid,4.0,0.09816653690662293,1
cody gakpo,434675.0,23.0,Liverpool,60000000.0,42000000.0,FWD,35,1938,10,4,57,51,0.12,0.83,274,0,11,1,145,0.56,2,0.22,5,0,20,1,0,0.0,0,1.0,36.0,159.0,2.0,0.23910822838010706,621,-0.01124024700544815,-0.182745282964769,0.353489645979961,4.2,long-term,0.0427443307661324,9.0,10.0,1.4285714285714286,0.4643962848297213,0.1857585139318885,0.175438596491228,0.83,0.5572755417956656,0.3405572755417956,0.1362229102167182,1.0,0.0,0.0,0.0,40.0,6.84,0.3228767123287671,7.426164383561644,0.2127659574468085,0.0384698976895191,0.0,1.0,mid,4.0,0.17150503595932085,1
omar marmoush,445939.0,25.0,Manchester City,60000000.0,75000000.0,FWD,16,1182,7,0,49,19,0.07,0.84,223,13,11,2,128,0.41,7,0.21,0,0,15,3,0,0.0,0,1.0,36.0,316.0,1.0,0.3160418903764559,605,-0.06616480699043711,-0.09452588148658123,0.4025480045822004,4.8,long-term,-0.3935221738638633,10.0,10.0,0.8,0.5329949238578681,0.0,0.1428571428571428,0.84,1.9796954314720812,0.4619289340101523,0.0,1.0,0.0,0.0,0.0,0.0,3.43,0.1968493150684931,4.921232876712328,0.1886792452830188,-0.3935221738638633,0.0,1.0,mid,4.0,0.028361074496144112,1
mason mount,346483.0,24.0,Manchester United,60000000.0,67700000.0,MID,17,621,1,0,20,0,0.0,0.0,0,15,0,0,0,0.0,0,0.0,3,0,16,0,0,0.0,0,0.0,0.0,365.0,0.0,0.09714246426238761,600,-0.0736164381152162,-0.11040099368985293,0.24781990480385113,1.1,mid-term,0.3778535386195354,9.0,10.0,0.8862629246676514,0.144927536231884,0.0,0.05,0.0,2.1739130434782608,0.1159420289855072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04,0.9600000000000002,0.625,0.3400681847575819,0.0,1.0,mid,4.0,0.036784555574636724,1
darwin núñez,546543.0,23.0,Liverpool,55000000.0,85000000.0,FWD,30,1118,5,0,34,12,0.08,0.82,69,21,5,2,43,0.42,7,0.41,8,0,27,0,0,0.0,0,0.0,0.0,365.0,0.0,0.482375706267946,576,-0.09296772852632168,-0.01519993331149382,0.5102903670149348,2.5,mid-term,0.2950442768913265,9.0,10.0,0.6470588235294118,0.4025044722719141,0.0,0.1470588235294117,0.82,2.2540250447227197,0.295169946332737,0.0,1.0,0.0,0.0,0.0,0.0,2.72,0.03,0.69,0.3333333333333333,0.2655398492021939,0.0,1.0,mid,4.0,0.07776779521482786,1
bryan mbeumo,413039.0,25.0,Brentford,55000000.0,75000000.0,MID,38,3415,20,7,85,23,0.09,0.84,192,49,3,0,109,0.51,10,0.33,3,0,25,8,0,0.0,0,0.0,0.0,365.0,0.0,0.5256546543839207,601,-0.026064810835087417,-0.217589504090864,0.5480781381886246,1.7,mid-term,0.1376627004030751,5.0,10.0,0.7333333333333333,0.527086383601757,0.1844802342606149,0.2352941176470588,0.84,1.370424597364568,0.4568081991215227,0.1598828696925329,0.0,1.0,0.0,0.0,140.0,7.649999999999999,0.05,1.25,0.4545454545454545,0.0688313502015375,0.0,1.0,mid,4.0,0.1915246932557766,1
marcus rashford,258923.0,27.0,Aston Villa,55000000.0,0.0,MID,25,1426,6,3,35,17,0.05,0.8,177,17,5,3,99,0.44,26,0.44,2,0,9,2,0,0.0,0,1.0,13.0,283.0,5.0,0.10350046785721506,602,-0.04599212524890136,0.071999891534318,0.25286990791963093,5.0,long-term,0.5015686155057468,6.0,10.0,1.0,0.3786816269284712,0.1893408134642356,0.1714285714285714,0.8,1.5778401122019634,0.3786816269284712,0.1893408134642356,0.0,1.0,0.0,0.0,18.0,1.75,0.474931506849315,12.823150684931507,0.1818181818181818,0.3009411693034481,0.0,1.0,mid,4.0,0.11799201678321936,1
pedro neto,487465.0,24.0,Chelsea,55000000.0,60000000.0,MID,35,2268,4,0,59,8,0.05,0.76,201,23,36,17,113,0.53,12,0.34,8,0,21,4,0,0.0,0,0.0,0.0,365.0,0.0,0.03760999327991699,553,-0.07051372653182685,-0.06541418079986329,0.1920612610302076,2.7,mid-term,0.0726281382069056,9.0,10.0,0.9166666666666666,0.1587301587301587,0.0,0.0677966101694915,0.76,3.015873015873016,0.1269841269841269,0.0,0.0,1.0,0.0,0.0,0.0,2.95,0.04,0.9600000000000002,0.3125,0.065365324386215,0.0,1.0,mid,4.0,0.005099545731963556,1
enzo fernández,648195.0,22.0,Chelsea,55000000.0,121000000.0,MID,36,2946,6,7,53,60,0.2,0.68,45,65,5,1,37,0.33,57,0.53,8,0,52,7,0,0.0,0,0.0,0.0,365.0,0.0,0.32579029110588503,593,-0.1537659870815238,0.06195544772037502,0.4057754814963972,1.9,mid-term,0.3164503980814824,9.0,10.0,0.4545454545454545,0.1832993890020366,0.2138492871690427,0.1132075471698113,0.68,2.169042769857434,0.1221995926680244,0.1425661914460285,0.0,1.0,0.0,0.0,42.0,10.6,0.02,0.44,0.4166666666666667,0.2848053582733342,0.0,1.0,mid,4.0,0.21572143480189881,1
joão félix,462250.0,23.0,Chelsea,50000000.0,11000000.0,FWD,12,364,1,1,20,0,0.0,0.0,0,8,0,0,0,0.0,0,0.0,2,0,0,0,0,0.0,0,0.0,0.0,365.0,0.0,0.09166502075934296,501,0.17384967002432075,-0.2662229164510699,0.21431536468139023,3.5,long-term,0.024702489369089,9.0,10.0,4.545454545454546,0.2472527472527472,0.2472527472527472,0.05,0.0,1.978021978021978,0.1813186813186813,0.1813186813186813,1.0,0.0,0.0,0.0,1.0,0.0,0.03,0.69,0.25,0.0222322404321801,0.0,1.0,mid,4.0,0.4400725864753906,1
dominik szoboszlai,451276.0,22.0,Liverpool,50000000.0,70000000.0,MID,36,2496,6,6,67,10,0.16,0.83,98,38,6,0,55,0.44,3,0.15,6,0,44,8,0,0.0,0,1.0,33.0,85.0,1.0,0.6345539473247908,573,0.05607590697508496,-0.1438392213110641,0.6159160348556252,2.4,mid-term,0.1352659198082871,9.0,10.0,0.7142857142857143,0.2163461538461538,0.2163461538461538,0.0895522388059701,0.83,1.5865384615384617,0.1442307692307692,0.1442307692307692,0.0,1.0,0.0,0.0,36.0,10.72,0.2934246575342466,6.455342465753426,0.3448275862068966,0.1217393278274584,0.0,1.0,mid,4.0,0.19991512828614907,1
gabriel jesus,363205.0,25.0,Arsenal,50000000.0,52200000.0,FWD,17,603,3,0,20,0,0.0,0.0,0,10,0,0,0,0.0,0,0.0,4,0,14,1,0,0.0,0,0.0,0.0,365.0,0.0,0.0822379053790662,504,0.0329385318117483,0.19039222999205693,0.20861548481429737,2.1,mid-term,0.1900127381084793,8.0,10.0,0.9578544061302682,0.4477611940298507,0.0,0.15,0.0,1.492537313432836,0.3880597014925373,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,1.25,0.3846153846153846,0.1520101904867834,0.0,1.0,mid,4.0,0.15745369818030863,1
mikel merino,338424.0,28.0,Arsenal,50000000.0,32000000.0,MID,28,1581,7,2,38,7,0.06,0.78,239,46,27,3,160,0.52,12,0.3,2,1,41,3,0,0.0,0,0.0,0.0,365.0,0.0,0.26606142134679106,553,0.09728739389674843,-0.03200433823384321,0.35197726067701945,2.4,mid-term,0.1843371218483943,8.0,10.0,1.5625,0.3984819734345351,0.1138519924098671,0.1842105263157894,0.78,4.326375711574952,0.3719165085388994,0.1062618595825427,0.0,1.0,0.0,0.0,14.0,2.28,0.08,2.24,0.3448275862068966,0.1474696974787154,0.0,1.0,mid,4.0,0.12929173213059164,1
kalvin phillips,351749.0,26.0,Ipswich Town,50000000.0,49000000.0,MID,19,1239,0,0,11,8,0.03,0.84,139,35,6,4,72,0.4,13,0.33,4,1,28,1,0,0.0,0,0.0,0.0,365.0,0.0,0.21157464070032048,606,-0.09470079704727184,0.2888839053233935,0.32972063010860597,2.1,mid-term,0.0915913790089131,3.0,10.0,1.020408163265306,0.0,0.0,0.0,0.84,3.2687651331719128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3299999999999999,0.06,1.56,0.3846153846153846,0.0274774137026739,0.0,1.0,mid,4.0,0.38358470237066533,1
joshua zirkzee,435648.0,23.0,Manchester United,50000000.0,42500000.0,FWD,32,1392,3,0,28,22,0.04,0.74,105,14,1,1,80,0.46,14,0.39,2,0,9,2,0,0.0,0,0.0,0.0,365.0,0.0,0.12590817895645465,532,0.004959138872862388,-0.18182780958644196,0.2475762847100777,3.3,long-term,-0.2068210731947287,9.0,10.0,1.1764705882352942,0.1939655172413793,0.0,0.1071428571428571,0.74,1.0344827586206895,0.1422413793103448,0.0,1.0,0.0,0.0,0.0,0.0,1.12,0.03,0.69,0.2631578947368421,-0.1861389658752558,0.0,1.0,mid,4.0,0.18678694845930435,1
savinho,743591.0,20.0,Manchester City,50000000.0,25000000.0,FWD,29,1770,1,8,55,6,0.0,0.86,127,23,21,37,48,0.53,94,0.55,3,0,17,3,0,0.0,0,0.0,0.0,365.0,0.0,0.30965683711145725,630,0.15398252783869154,0.004652842810306013,0.4055709747892089,4.3,long-term,-0.1095975731975381,10.0,10.0,2.0,0.0508474576271186,0.4067796610169492,0.0181818181818181,0.86,4.11864406779661,0.0271186440677966,0.2169491525423729,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.2083333333333333,-0.1095975731975381,0.0,1.0,mid,4.0,0.14932968502838553,1
leny yoro,923831.0,18.0,Manchester United,50000000.0,62000000.0,DEF,21,1162,0,0,5,6,0.04,0.78,109,0,3,0,47,0.41,6,0.4,5,0,9,1,0,0.0,0,1.0,21.0,317.0,3.0,0.13818336381357915,501,0.1472752550255767,-0.1630717814311393,0.24687820481935557,3.1,long-term,0.2861020956745875,9.0,10.0,0.8064516129032258,0.0,0.0,0.0,0.78,0.2323580034423408,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2463013698630136,4.433424657534246,0.2777777777777778,0.2574918861071288,0.0,1.0,mid,4.0,0.310347036456716,1
sandro tonali,397033.0,23.0,Newcastle United,50000000.0,58900000.0,MID,36,2631,4,2,35,3,0.0,0.88,97,51,15,21,46,0.57,35,0.52,5,0,37,10,0,0.0,0,0.0,0.0,365.0,0.0,0.32031759550235783,536,-0.021647433904562096,-0.010883766704939856,0.3848616774910111,4.6,long-term,0.1264898765829116,7.0,10.0,0.8488964346349746,0.1368301026225769,0.0684150513112884,0.1142857142857142,0.88,2.9760547320410486,0.1003420752565564,0.0501710376282782,0.0,1.0,0.0,0.0,8.0,0.0,0.03,0.69,0.196078431372549,0.0885429136080381,0.0,1.0,mid,4.0,0.01076366719962224,1
richarlison,378710.0,25.0,Tottenham Hotspur,48000000.0,58000000.0,FWD,15,500,4,1,17,0,0.0,0.0,0,5,0,0,0,0.0,0,0.0,2,0,7,0,0,0.0,0,0.0,0.0,365.0,0.0,-0.03539225187527609,489,0.08883890946849793,-0.45493171303593233,0.12177887024075329,2.9,mid-term,-0.0041534827015592,7.0,10.0,0.8275862068965517,0.72,0.18,0.2352941176470588,0.0,0.9,0.624,0.156,1.0,0.0,0.0,0.0,4.0,0.0,0.05,1.25,0.2941176470588235,-0.0029074378910915,0.0,1.0,mid,4.0,0.5437706225044303,0
pau torres,399776.0,26.0,Aston Villa,45000000.0,33000000.0,DEF,24,2020,0,0,8,15,0.12,0.61,19,21,1,2,31,0.28,93,0.6,2,0,8,5,0,0.0,0,0.0,0.0,365.0,0.0,0.19223004362418267,463,-0.003652596524734746,0.12578641803349747,0.2733222692981666,0.8,expiring,0.1726218192806234,6.0,10.0,1.3636363636363635,0.0,0.0,0.0,0.61,1.0693069306930694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96,0.06,1.56,0.7692307692307692,0.103573091568374,0.0,1.0,mid,4.0,0.1294390145582322,1
riccardo calafiori,502821.0,22.0,Arsenal,45000000.0,45000000.0,DEF,19,984,2,1,10,2,0.1,0.92,142,0,13,7,73,0.59,6,0.3,4,0,16,0,0,0.0,0,0.0,0.0,365.0,0.0,0.10820482172490115,538,0.05715206548277141,0.09344144123508952,0.23698213644619204,4.7,long-term,-0.0008091786078492,8.0,10.0,1.0,0.1829268292682927,0.0914634146341463,0.2,0.92,1.829268292682927,0.1219512195121951,0.0609756097560975,0.0,0.0,1.0,0.0,2.0,1.0,0.02,0.44,0.1923076923076923,-0.0006473428862794,0.0,1.0,mid,4.0,0.03628937575231811,1
alejandro garnacho,811779.0,21.0,Manchester United,45000000.0,46200000.0,MID,36,2195,6,2,84,30,0.07,0.83,241,30,13,0,99,0.42,3,0.11,3,0,12,3,0,0.0,0,0.0,0.0,365.0,0.0,0.25702415622115204,506,0.018290415791424236,0.1989732101076878,0.3315652610031581,3.5,long-term,0.074271819942324,9.0,10.0,0.974025974025974,0.2460136674259681,0.082004555808656,0.0714285714285714,0.83,1.7630979498861048,0.1476082004555808,0.0492027334851936,0.0,1.0,0.0,0.0,12.0,5.880000000000001,0.01,0.21,0.25,0.0668446379480916,0.0,1.0,mid,4.0,0.18068279431626355,1
manuel ugarte,476701.0,23.0,Manchester United,45000000.0,50000000.0,MID,29,1789,1,2,19,12,0.21,0.89,143,77,28,16,109,0.57,32,0.36,11,0,41,1,0,0.0,0,1.0,20.0,250.0,5.0,0.065685490199306,532,-0.2377089034562223,0.08609727432395581,0.20542040258007363,1.5,mid-term,0.4349917128411887,9.0,10.0,0.9,0.0503074343208496,0.1006148686416992,0.0526315789473684,0.89,6.087199552822806,0.0368921185019564,0.0737842370039128,0.0,1.0,0.0,0.0,2.0,3.99,0.4530136986301369,10.41931506849315,0.5,0.3914925415570698,0.0,1.0,mid,4.0,0.3238061777801781,1
rasmus højlund,610442.0,20.0,Manchester United,45000000.0,77800000.0,FWD,32,2013,4,0,32,13,0.11,0.87,225,3,26,6,198,0.56,22,0.42,2,0,17,0,0,0.0,0,0.0,0.0,365.0,0.0,0.40412046736353574,520,0.1714274101834658,0.04953368189208658,0.43872848299863076,1.3,mid-term,-0.20447990777303,9.0,10.0,0.5784061696658098,0.1788375558867362,0.0,0.125,0.87,1.5648286140089418,0.0953800298062593,0.0,1.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.5555555555555556,-0.184031916995727,0.0,1.0,mid,4.0,0.12189372829137922,1
jurriën timber,420243.0,22.0,Arsenal,42000000.0,40000000.0,DEF,30,2422,1,3,14,34,0.26,0.65,38,58,6,4,37,0.25,67,0.4,7,0,0,7,0,0.0,0,2.0,39.0,328.0,2.0,-0.17232352755861527,422,0.06772201183258059,-0.10205789932319238,0.005847057182495785,2.3,mid-term,0.140118446338009,8.0,10.0,1.05,0.037159372419488,0.111478117258464,0.0714285714285714,0.65,2.526837324525186,0.0247729149463253,0.074318744838976,0.0,0.0,1.0,0.0,3.0,3.64,0.2802739726027397,6.166027397260274,0.3571428571428571,0.1120947570704072,0.0,1.0,mid,4.0,0.16977991115577296,0
casemiro,16306.0,30.0,Manchester United,40000000.0,70650000.0,MID,24,1497,1,0,32,6,0.08,0.81,64,83,19,13,52,0.58,49,0.54,5,0,20,3,0,0.0,0,1.0,14.0,327.0,1.0,0.2941080742617156,443,-0.06972574483138438,-0.15023429727637197,0.3386428847504337,3.6,long-term,-0.2826043239643528,9.0,10.0,0.5661712668082095,0.0601202404809619,0.0,0.03125,0.81,6.913827655310621,0.0480961923847695,0.0,0.0,1.0,0.0,0.0,0.0,2.56,0.2408219178082191,7.224657534246575,0.2439024390243902,-0.2543438915679175,0.0,1.0,mid,4.0,0.08050855244498759,1
martin ødegaard,316264.0,22.0,Arsenal,40000000.0,2000000.0,MID,30,2328,3,8,49,12,0.13,0.93,259,19,24,0,117,0.55,10,0.53,4,0,12,5,0,0.0,0,0.0,0.0,365.0,0.0,0.15078051076703963,408,-0.023199757817803146,-0.36392179693179255,0.22782407981465003,2.6,mid-term,0.1074152840974649,8.0,10.0,20.0,0.1159793814432989,0.3092783505154639,0.0612244897959183,0.93,1.6623711340206186,0.077319587628866,0.2061855670103093,0.0,1.0,0.0,0.0,24.0,6.37,0.02,0.44,0.3225806451612903,0.0859322272779719,0.0,1.0,mid,4.0,0.3407220391139894,1
gonçalo guedes,225122.0,25.0,Wolverhampton Wanderers,40000000.0,32600000.0,MID,29,987,2,4,27,1,0.0,0.85,26,16,13,9,51,0.55,11,0.61,1,0,15,0,0,0.0,0,1.0,16.0,256.0,3.0,0.3977688228209728,516,-0.0060287599200916685,0.23929575388240543,0.4330835306200356,1.1,mid-term,0.2257364301860188,5.0,10.0,1.2269938650306749,0.182370820668693,0.364741641337386,0.074074074074074,0.85,3.4650455927051675,0.1580547112462006,0.3161094224924012,0.0,1.0,0.0,0.0,8.0,0.0,0.3497260273972603,8.743150684931507,0.625,0.1128682150930094,0.0,1.0,mid,4.0,0.2453245138024971,1
benoît badiashile,463603.0,21.0,Chelsea,40000000.0,38000000.0,DEF,5,333,0,0,0,0,0.0,0.0,0,9,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,365.0,0.0,0.24634028922486237,439,0.09291452880097223,-0.16644980153869696,0.3040066340258352,2.4,mid-term,0.169525765713396,9.0,10.0,1.0526315789473684,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.21,0.3448275862068966,0.1525731891420564,0.0,1.0,mid,4.0,0.2593643303396692,1
ben chilwell,316125.0,23.0,Crystal Palace,40000000.0,50200000.0,DEF,8,254,1,0,5,0,0.0,0.0,0,7,0,0,0,0.0,0,0.0,1,0,2,0,0,0.0,0,0.0,0.0,365.0,0.0,0.23645880383319423,489,0.1216025552211608,-0.0547203843107082,0.3120746092366825,2.3,mid-term,0.0617553886884898,5.0,10.0,0.796812749003984,0.3543307086614173,0.0,0.2,0.0,2.4803149606299213,0.2598425196850393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03,0.69,0.3571428571428571,0.0308776943442449,0.0,1.0,mid,4.0,0.176322939531869,1
