Player Name,player_id,age,Club,market_value,fee,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Passes%,Progressive Carries,Tackles,Interceptions,Blocks,gDuels Won,gDuels %,aDuels Won,aDuels %,Yellow Cards,Red Cards,Fouls,Clean Sheets,Saves,Saves %,Goals Conceded,injury_count,days_injured,days_since_injury,injury_severity,sentiment_polarity,mention_frequency,sentiment_trend_30d,sentiment_trend_90d,sentiment_score,contract_years_remaining,contract_status,market_value_change_rate,club_financial_strength,league_competitiveness,value_to_fee_ratio,goals_per_90,assists_per_90,goals_per_shot,pass_completion_rate,defensive_actions_per_90,age_adjusted_goals,age_adjusted_assists,is_forward,is_midfielder,is_defender,is_goalkeeper,goal_assist_product,shot_conversion_product,injury_risk_score,age_injury_interaction,contract_urgency,market_momentum,is_summer_window,is_winter_window,season_phase,months_to_summer_window
alexis mac allister,534033.0,24.0,Liverpool,65000000.0,42000000.0,MID,35,2607,5,5,38,17,0.17,0.86,209,95,11,2,107,0.49,10,0.4,6,0,62,9,0,0.0,0,0.0,0.0,365.0,0.0,0.2755539520504984,651.0,0.063657200640378,0.1677002071523453,0.3879926615402439,3.8,long-term,-0.1946220966104383,9.0,10.0,1.5476190476190477,0.1726121979286536,0.1726121979286536,0.131578947368421,0.86,3.7284234752589183,0.1380897583429229,0.1380897583429229,0.0,1.0,0.0,0.0,25.0,6.460000000000001,0.04,0.9600000000000002,0.2325581395348837,-0.1751598869493945,0.0,1.0,mid,4.0
timo werner,170527.0,24.0,Tottenham Hotspur,64000000.0,53000000.0,MID,18,508,0,3,8,0,0.0,0.0,0,6,0,0,0,0.0,0,0.0,0,0,3,0,0,0.0,0,0.0,0.0,365.0,0.0,0.0528761367086387,650.0,0.0063667201220438,0.2783137788521885,0.2318184905012419,0.9,expiring,-0.0324730375893851,7.0,10.0,1.2075471698113207,0.0,0.5314960629921259,0.0,0.0,1.062992125984252,0.0,0.4251968503937007,0.0,1.0,0.0,0.0,0.0,0.0,0.04,0.9600000000000002,0.7142857142857143,-0.0227311263125695,0.0,1.0,mid,4.0
james maddison,294057.0,26.0,Tottenham Hotspur,60000000.0,46300000.0,MID,31,1816,9,7,39,4,0.07,0.82,128,31,41,41,96,0.63,103,0.75,6,0,32,0,0,0.0,0,0.0,0.0,365.0,0.0,0.5931352152180616,650.0,0.01741483822366,0.0993086411149623,0.6099998454578378,1.7,mid-term,0.2034224069553796,7.0,10.0,1.2958963282937366,0.4460352422907489,0.3469162995594713,0.2307692307692307,0.82,5.600220264317181,0.4162995594713656,0.3237885462555065,0.0,1.0,0.0,0.0,63.0,2.7300000000000004,0.06,1.56,0.4545454545454545,0.1423956848687657,0.0,1.0,mid,4.0
cody gakpo,434675.0,23.0,Liverpool,60000000.0,42000000.0,FWD,35,1938,10,4,57,51,0.12,0.83,274,0,11,1,145,0.56,2,0.22,5,0,20,1,0,0.0,0,1.0,36.0,159.0,2.0,0.5637646602069719,603.0,0.2344858260126276,-0.0576177693526293,0.5753545428641611,4.2,long-term,0.0427443307661324,9.0,10.0,1.4285714285714286,0.4643962848297213,0.1857585139318885,0.175438596491228,0.83,0.5572755417956656,0.3405572755417956,0.1362229102167182,1.0,0.0,0.0,0.0,40.0,6.84,0.3228767123287671,7.426164383561644,0.2127659574468085,0.0384698976895191,0.0,1.0,mid,4.0
omar marmoush,445939.0,25.0,Manchester City,60000000.0,75000000.0,FWD,16,1182,7,0,49,19,0.07,0.84,223,13,11,2,128,0.41,7,0.21,0,0,15,3,0,0.0,0,1.0,36.0,316.0,1.0,0.3338956276038348,659.0,-0.0060624803808356,-0.0390972162526311,0.4312294368251819,4.8,long-term,-0.3935221738638633,10.0,10.0,0.8,0.5329949238578681,0.0,0.1428571428571428,0.84,1.9796954314720812,0.4619289340101523,0.0,1.0,0.0,0.0,0.0,0.0,3.43,0.1968493150684931,4.921232876712328,0.1886792452830188,-0.3935221738638633,0.0,1.0,mid,4.0
mason mount,346483.0,24.0,Manchester United,60000000.0,67700000.0,MID,17,621,1,0,20,0,0.0,0.0,0,15,0,0,0,0.0,0,0.0,3,0,16,0,0,0.0,0,0.0,0.0,365.0,0.0,0.3904235207568707,626.0,-0.0727483482499235,0.2571411152751987,0.4609088521421971,1.1,mid-term,0.3778535386195354,9.0,10.0,0.8862629246676514,0.144927536231884,0.0,0.05,0.0,2.1739130434782608,0.1159420289855072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04,0.9600000000000002,0.625,0.3400681847575819,0.0,1.0,mid,4.0
darwin núñez,546543.0,23.0,Liverpool,55000000.0,85000000.0,FWD,30,1118,5,0,34,12,0.08,0.82,69,21,5,2,43,0.42,7,0.41,8,0,27,0,0,0.0,0,0.0,0.0,365.0,0.0,0.4021315319908612,574.0,0.1628112662549146,0.0169219202790497,0.4535200444215749,2.5,mid-term,0.2950442768913265,9.0,10.0,0.6470588235294118,0.4025044722719141,0.0,0.1470588235294117,0.82,2.2540250447227197,0.295169946332737,0.0,1.0,0.0,0.0,0.0,0.0,2.72,0.03,0.69,0.3333333333333333,0.2655398492021939,0.0,1.0,mid,4.0
bryan mbeumo,413039.0,25.0,Brentford,55000000.0,75000000.0,MID,38,3415,20,7,85,23,0.09,0.84,192,49,3,0,109,0.51,10,0.33,3,0,25,8,0,0.0,0,0.0,0.0,365.0,0.0,0.6350525246521972,563.0,0.1248097824897309,-0.0123750723017079,0.6132680359878068,1.7,mid-term,0.1376627004030751,5.0,10.0,0.7333333333333333,0.527086383601757,0.1844802342606149,0.2352941176470588,0.84,1.370424597364568,0.4568081991215227,0.1598828696925329,0.0,1.0,0.0,0.0,140.0,7.649999999999999,0.05,1.25,0.4545454545454545,0.0688313502015375,0.0,1.0,mid,4.0
marcus rashford,258923.0,27.0,Aston Villa,55000000.0,0.0,MID,25,1426,6,3,35,17,0.05,0.8,177,17,5,3,99,0.44,26,0.44,2,0,9,2,0,0.0,0,1.0,13.0,283.0,5.0,0.5093836252582725,641.0,0.0246037982807592,0.1418885732055571,0.5486764297886828,5.0,long-term,0.5015686155057468,6.0,10.0,1.0,0.3786816269284712,0.1893408134642356,0.1714285714285714,0.8,1.5778401122019634,0.3786816269284712,0.1893408134642356,0.0,1.0,0.0,0.0,18.0,1.75,0.474931506849315,12.823150684931507,0.1818181818181818,0.3009411693034481,0.0,1.0,mid,4.0
pedro neto,487465.0,24.0,Chelsea,55000000.0,60000000.0,MID,35,2268,4,0,59,8,0.05,0.76,201,23,36,17,113,0.53,12,0.34,8,0,21,4,0,0.0,0,0.0,0.0,365.0,0.0,0.1473482742242763,558.0,-0.0654275385794812,0.1948908559182675,0.2703765591897606,2.7,mid-term,0.0726281382069056,9.0,10.0,0.9166666666666666,0.1587301587301587,0.0,0.0677966101694915,0.76,3.015873015873016,0.1269841269841269,0.0,0.0,1.0,0.0,0.0,0.0,2.95,0.04,0.9600000000000002,0.3125,0.065365324386215,0.0,1.0,mid,4.0
enzo fernández,648195.0,22.0,Chelsea,55000000.0,121000000.0,MID,36,2946,6,7,53,60,0.2,0.68,45,65,5,1,37,0.33,57,0.53,8,0,52,7,0,0.0,0,0.0,0.0,365.0,0.0,0.3011491864156161,580.0,-0.0566787647734276,0.0549803711607136,0.3846306043171051,1.9,mid-term,0.3164503980814824,9.0,10.0,0.4545454545454545,0.1832993890020366,0.2138492871690427,0.1132075471698113,0.68,2.169042769857434,0.1221995926680244,0.1425661914460285,0.0,1.0,0.0,0.0,42.0,10.6,0.02,0.44,0.4166666666666667,0.2848053582733342,0.0,1.0,mid,4.0
joão félix,462250.0,23.0,Chelsea,50000000.0,11000000.0,FWD,12,364,1,1,20,0,0.0,0.0,0,8,0,0,0,0.0,0,0.0,2,0,0,0,0,0.0,0,0.0,0.0,365.0,0.0,0.2686599211239953,530.0,-0.168110223775685,-0.1960463551647546,0.3469031036279555,3.5,long-term,0.024702489369089,9.0,10.0,4.545454545454546,0.2472527472527472,0.2472527472527472,0.05,0.0,1.978021978021978,0.1813186813186813,0.1813186813186813,1.0,0.0,0.0,0.0,1.0,0.0,0.03,0.69,0.25,0.0222322404321801,0.0,1.0,mid,4.0
dominik szoboszlai,451276.0,22.0,Liverpool,50000000.0,70000000.0,MID,36,2496,6,6,67,10,0.16,0.83,98,38,6,0,55,0.44,3,0.15,6,0,44,8,0,0.0,0,1.0,33.0,85.0,1.0,0.3085052022589656,523.0,-0.0071016424934606,0.1215188085340687,0.3726968983245327,2.4,mid-term,0.1352659198082871,9.0,10.0,0.7142857142857143,0.2163461538461538,0.2163461538461538,0.0895522388059701,0.83,1.5865384615384617,0.1442307692307692,0.1442307692307692,0.0,1.0,0.0,0.0,36.0,10.72,0.2934246575342466,6.455342465753426,0.3448275862068966,0.1217393278274584,0.0,1.0,mid,4.0
gabriel jesus,363205.0,25.0,Arsenal,50000000.0,52200000.0,FWD,17,603,3,0,20,0,0.0,0.0,0,10,0,0,0,0.0,0,0.0,4,0,14,1,0,0.0,0,0.0,0.0,365.0,0.0,0.0618679233415591,556.0,-0.0765904241225225,-0.0555434576428445,0.209940912972458,2.1,mid-term,0.1900127381084793,8.0,10.0,0.9578544061302682,0.4477611940298507,0.0,0.15,0.0,1.492537313432836,0.3880597014925373,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,1.25,0.3846153846153846,0.1520101904867834,0.0,1.0,mid,4.0
mikel merino,338424.0,28.0,Arsenal,50000000.0,32000000.0,MID,28,1581,7,2,38,7,0.06,0.78,239,46,27,3,160,0.52,12,0.3,2,1,41,3,0,0.0,0,0.0,0.0,365.0,0.0,0.0075953307900604,552.0,0.0336886521819024,-0.0853057481389625,0.1707512969876077,2.4,mid-term,0.1843371218483943,8.0,10.0,1.5625,0.3984819734345351,0.1138519924098671,0.1842105263157894,0.78,4.326375711574952,0.3719165085388994,0.1062618595825427,0.0,1.0,0.0,0.0,14.0,2.28,0.08,2.24,0.3448275862068966,0.1474696974787154,0.0,1.0,mid,4.0
kalvin phillips,351749.0,26.0,Ipswich Town,50000000.0,49000000.0,MID,19,1239,0,0,11,8,0.03,0.84,139,35,6,4,72,0.4,13,0.33,4,1,28,1,0,0.0,0,0.0,0.0,365.0,0.0,0.2877867508143913,548.0,-0.0023481924616468,-0.3491892388236321,0.3656864898058381,2.1,mid-term,0.0915913790089131,3.0,10.0,1.020408163265306,0.0,0.0,0.0,0.84,3.2687651331719128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3299999999999999,0.06,1.56,0.3846153846153846,0.0274774137026739,0.0,1.0,mid,4.0
joshua zirkzee,435648.0,23.0,Manchester United,50000000.0,42500000.0,FWD,32,1392,3,0,28,22,0.04,0.74,105,14,1,1,80,0.46,14,0.39,2,0,9,2,0,0.0,0,0.0,0.0,365.0,0.0,0.1483385600428484,537.0,0.0781371190175498,-0.0054788947871021,0.2647760529690548,3.3,long-term,-0.2068210731947287,9.0,10.0,1.1764705882352942,0.1939655172413793,0.0,0.1071428571428571,0.74,1.0344827586206895,0.1422413793103448,0.0,1.0,0.0,0.0,0.0,0.0,1.12,0.03,0.69,0.2631578947368421,-0.1861389658752558,0.0,1.0,mid,4.0
savinho,743591.0,20.0,Manchester City,50000000.0,25000000.0,FWD,29,1770,1,8,55,6,0.0,0.86,127,23,21,37,48,0.53,94,0.55,3,0,17,3,0,0.0,0,0.0,0.0,365.0,0.0,0.043386143147901,502.0,0.0439066107846071,-0.1057705897977402,0.1808198506530811,4.3,long-term,-0.1095975731975381,10.0,10.0,2.0,0.0508474576271186,0.4067796610169492,0.0181818181818181,0.86,4.11864406779661,0.0271186440677966,0.2169491525423729,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.2083333333333333,-0.1095975731975381,0.0,1.0,mid,4.0
leny yoro,923831.0,18.0,Manchester United,50000000.0,62000000.0,DEF,21,1162,0,0,5,6,0.04,0.78,109,0,3,0,47,0.41,6,0.4,5,0,9,1,0,0.0,0,1.0,21.0,317.0,3.0,0.1898210761066716,568.0,0.2522646709482407,0.0857280982241571,0.3031045235044404,3.1,long-term,0.2861020956745875,9.0,10.0,0.8064516129032258,0.0,0.0,0.0,0.78,0.2323580034423408,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2463013698630136,4.433424657534246,0.2777777777777778,0.2574918861071288,0.0,1.0,mid,4.0
sandro tonali,397033.0,23.0,Newcastle United,50000000.0,58900000.0,MID,36,2631,4,2,35,3,0.0,0.88,97,51,15,21,46,0.57,35,0.52,5,0,37,10,0,0.0,0,0.0,0.0,365.0,0.0,0.1521883361880251,573.0,-0.2738191275965072,0.1105882744132743,0.2782601070598893,4.6,long-term,0.1264898765829116,7.0,10.0,0.8488964346349746,0.1368301026225769,0.0684150513112884,0.1142857142857142,0.88,2.9760547320410486,0.1003420752565564,0.0501710376282782,0.0,1.0,0.0,0.0,8.0,0.0,0.03,0.69,0.196078431372549,0.0885429136080381,0.0,1.0,mid,4.0
richarlison,378710.0,25.0,Tottenham Hotspur,48000000.0,58000000.0,FWD,15,500,4,1,17,0,0.0,0.0,0,5,0,0,0,0.0,0,0.0,2,0,7,0,0,0.0,0,0.0,0.0,365.0,0.0,0.1690430201964496,499.0,-0.0345222096867303,0.1518095652957214,0.2678805636879642,2.9,mid-term,-0.0041534827015592,7.0,10.0,0.8275862068965517,0.72,0.18,0.2352941176470588,0.0,0.9,0.624,0.156,1.0,0.0,0.0,0.0,4.0,0.0,0.05,1.25,0.2941176470588235,-0.0029074378910915,0.0,1.0,mid,4.0
pau torres,399776.0,26.0,Aston Villa,45000000.0,33000000.0,DEF,24,2020,0,0,8,15,0.12,0.61,19,21,1,2,31,0.28,93,0.6,2,0,8,5,0,0.0,0,0.0,0.0,365.0,0.0,0.3004004017683412,482.0,-0.0079431479190408,-0.1540007765630477,0.3547358256933833,0.8,expiring,0.1726218192806234,6.0,10.0,1.3636363636363635,0.0,0.0,0.0,0.61,1.0693069306930694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.96,0.06,1.56,0.7692307692307692,0.103573091568374,0.0,1.0,mid,4.0
riccardo calafiori,502821.0,22.0,Arsenal,45000000.0,45000000.0,DEF,19,984,2,1,10,2,0.1,0.92,142,0,13,7,73,0.59,6,0.3,4,0,16,0,0,0.0,0,0.0,0.0,365.0,0.0,0.4192178115311039,466.0,-0.1007681220910047,0.0477168538860623,0.4331128077321123,4.7,long-term,-0.0008091786078492,8.0,10.0,1.0,0.1829268292682927,0.0914634146341463,0.2,0.92,1.829268292682927,0.1219512195121951,0.0609756097560975,0.0,0.0,1.0,0.0,2.0,1.0,0.02,0.44,0.1923076923076923,-0.0006473428862794,0.0,1.0,mid,4.0
alejandro garnacho,811779.0,21.0,Manchester United,45000000.0,46200000.0,MID,36,2195,6,2,84,30,0.07,0.83,241,30,13,0,99,0.42,3,0.11,3,0,12,3,0,0.0,0,0.0,0.0,365.0,0.0,0.0531328864475531,515.0,-0.0301542082342611,0.0841138604626274,0.1915386748589415,3.5,long-term,0.074271819942324,9.0,10.0,0.974025974025974,0.2460136674259681,0.082004555808656,0.0714285714285714,0.83,1.7630979498861048,0.1476082004555808,0.0492027334851936,0.0,1.0,0.0,0.0,12.0,5.880000000000001,0.01,0.21,0.25,0.0668446379480916,0.0,1.0,mid,4.0
manuel ugarte,476701.0,23.0,Manchester United,45000000.0,50000000.0,MID,29,1789,1,2,19,12,0.21,0.89,143,77,28,16,109,0.57,32,0.36,11,0,41,1,0,0.0,0,1.0,20.0,250.0,5.0,-0.137753444220549,494.0,0.1491003125613277,-0.3565633551843334,0.0516245370975637,1.5,mid-term,0.4349917128411887,9.0,10.0,0.9,0.0503074343208496,0.1006148686416992,0.0526315789473684,0.89,6.087199552822806,0.0368921185019564,0.0737842370039128,0.0,1.0,0.0,0.0,2.0,3.99,0.4530136986301369,10.41931506849315,0.5,0.3914925415570698,0.0,1.0,mid,4.0
rasmus højlund,610442.0,20.0,Manchester United,45000000.0,77800000.0,FWD,32,2013,4,0,32,13,0.11,0.87,225,3,26,6,198,0.56,22,0.42,2,0,17,0,0,0.0,0,0.0,0.0,365.0,0.0,0.0245382968527292,481.0,0.0105117104709728,-0.0090431398801375,0.1613326519527546,1.3,mid-term,-0.20447990777303,9.0,10.0,0.5784061696658098,0.1788375558867362,0.0,0.125,0.87,1.5648286140089418,0.0953800298062593,0.0,1.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.5555555555555556,-0.184031916995727,0.0,1.0,mid,4.0
jurriën timber,420243.0,22.0,Arsenal,42000000.0,40000000.0,DEF,30,2422,1,3,14,34,0.26,0.65,38,58,6,4,37,0.25,67,0.4,7,0,0,7,0,0.0,0,2.0,39.0,328.0,2.0,0.4362667292410609,453.0,-0.0333035492900284,-0.2947381121928382,0.4411509462329783,2.3,mid-term,0.140118446338009,8.0,10.0,1.05,0.037159372419488,0.111478117258464,0.0714285714285714,0.65,2.526837324525186,0.0247729149463253,0.074318744838976,0.0,0.0,1.0,0.0,3.0,3.64,0.2802739726027397,6.166027397260274,0.3571428571428571,0.1120947570704072,0.0,1.0,mid,4.0
casemiro,16306.0,30.0,Manchester United,40000000.0,70650000.0,MID,24,1497,1,0,32,6,0.08,0.81,64,83,19,13,52,0.58,49,0.54,5,0,20,3,0,0.0,0,1.0,14.0,327.0,1.0,0.1991973132193071,497.0,0.0837005822675538,0.2309737917580372,0.2883891682045639,3.6,long-term,-0.2826043239643528,9.0,10.0,0.5661712668082095,0.0601202404809619,0.0,0.03125,0.81,6.913827655310621,0.0480961923847695,0.0,0.0,1.0,0.0,0.0,0.0,2.56,0.2408219178082191,7.224657534246575,0.2439024390243902,-0.2543438915679175,0.0,1.0,mid,4.0
martin ødegaard,316264.0,22.0,Arsenal,40000000.0,2000000.0,MID,30,2328,3,8,49,12,0.13,0.93,259,19,24,0,117,0.55,10,0.53,4,0,12,5,0,0.0,0,0.0,0.0,365.0,0.0,0.3209295278809554,473.0,0.0959831743068201,0.048933124848448,0.3664089112749105,2.6,mid-term,0.1074152840974649,8.0,10.0,20.0,0.1159793814432989,0.3092783505154639,0.0612244897959183,0.93,1.6623711340206186,0.077319587628866,0.2061855670103093,0.0,1.0,0.0,0.0,24.0,6.37,0.02,0.44,0.3225806451612903,0.0859322272779719,0.0,1.0,mid,4.0
gonçalo guedes,225122.0,25.0,Wolverhampton Wanderers,40000000.0,32600000.0,MID,29,987,2,4,27,1,0.0,0.85,26,16,13,9,51,0.55,11,0.61,1,0,15,0,0,0.0,0,1.0,16.0,256.0,3.0,0.2883853404709548,496.0,0.1029154637956014,0.0299366056502405,0.350521086981017,1.1,mid-term,0.2257364301860188,5.0,10.0,1.2269938650306749,0.182370820668693,0.364741641337386,0.074074074074074,0.85,3.4650455927051675,0.1580547112462006,0.3161094224924012,0.0,1.0,0.0,0.0,8.0,0.0,0.3497260273972603,8.743150684931507,0.625,0.1128682150930094,0.0,1.0,mid,4.0
benoît badiashile,463603.0,21.0,Chelsea,40000000.0,38000000.0,DEF,5,333,0,0,0,0,0.0,0.0,0,9,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,365.0,0.0,-0.1236860387749183,422.0,0.1070512005279037,0.0029856513823866,0.0398932993310836,2.4,mid-term,0.169525765713396,9.0,10.0,1.0526315789473684,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.21,0.3448275862068966,0.1525731891420564,0.0,1.0,mid,4.0
ben chilwell,316125.0,23.0,Crystal Palace,40000000.0,50200000.0,DEF,8,254,1,0,5,0,0.0,0.0,0,7,0,0,0,0.0,0,0.0,1,0,2,0,0,0.0,0,0.0,0.0,365.0,0.0,0.0972763979532834,476.0,0.124550585384616,0.2629216171168683,0.210750821224641,2.3,mid-term,0.0617553886884898,5.0,10.0,0.796812749003984,0.3543307086614173,0.0,0.2,0.0,2.4803149606299213,0.2598425196850393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03,0.69,0.3571428571428571,0.0308776943442449,0.0,1.0,mid,4.0
luis díaz,480692.0,25.0,Liverpool,40000000.0,49000000.0,MID,36,2410,0,5,71,0,0.0,0.84,43,39,21,6,44,0.51,13,0.54,2,0,48,4,0,0.0,0,0.0,0.0,365.0,0.0,0.2131036608477987,593.0,0.0477508575625943,0.0539462247339004,0.3268948403157368,1.2,mid-term,-0.1021786292145442,9.0,10.0,0.8163265306122449,0.0,0.1867219917012448,0.0,0.84,2.464730290456432,0.0,0.1618257261410788,0.0,1.0,0.0,0.0,0.0,0.0,0.05,1.25,0.5882352941176471,-0.0919607662930898,0.0,1.0,mid,4.0
