Name,season,market_val,ID,Age,OVA,performance_score,physical_index,technical_index,avg_sentiment,availability_score,injury_risk_score,is_peak_age,age_peak_diff,is_left_footed,contract_value_proxy,sentiment_performance_index,pos_defender,pos_forward,pos_goalkeeper,pos_midfielder,pos_other,log_market_val
Alex,2019,150000,135460,35,80,54.22,56.25,78.0,0.0,0.731,34.2,0,9,1,160.0,54.22,False,False,False,True,False,11.918397239722838
Alex,2021,450000,135460,35,80,54.22,56.25,78.0,0.0,0.731,34.2,0,9,1,160.0,54.22,False,False,False,True,False,13.017005083966255
Felipe Melo,2009,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Felipe Melo,2011,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Felipe Melo,2012,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Felipe Melo,2013,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Felipe Melo,2015,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Felipe Melo,2016,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Felipe Melo,2017,600000,135475,33,78,51.7,76.75,81.0,0.402,0.945,24.3,0,7,0,156.0,53.778,True,False,False,False,False,13.304686600863562
Fernandinho,2013,2000000,135507,35,84,55.76,76.25,80.0,0.335,0.871,27.4,0,9,0,672.0,57.628,True,False,False,False,False,14.508658238524095
Fernandinho,2014,200000,135507,35,84,55.76,76.25,80.0,0.335,0.871,27.4,0,9,0,672.0,57.628,True,False,False,False,False,12.206077645517674
Fernandinho,2015,200000,135507,35,84,55.76,76.25,80.0,0.335,0.871,27.4,0,9,0,672.0,57.628,True,False,False,False,False,12.206077645517674
Sergio García,2015,50000,135697,35,77,52.86,61.0,73.67,0.0,0.899,29.9,0,9,0,154.0,52.86,False,True,False,False,False,10.819798284210286
Sergio García,2016,50000,135697,35,77,52.86,61.0,73.67,0.0,0.899,29.9,0,9,0,154.0,52.86,False,True,False,False,False,10.819798284210286
Sergio García,2017,50000,135697,35,77,52.86,61.0,73.67,0.0,0.899,29.9,0,9,0,154.0,52.86,False,True,False,False,False,10.819798284210286
Diego,2009,1300000,136138,30,79,54.94,69.0,70.0,0.0,0.84,39.4,0,4,0,237.0,54.94,False,False,False,True,False,14.077875591662238
Diego,2010,1300000,136138,30,79,54.94,69.0,70.0,0.0,0.84,39.4,0,4,0,237.0,54.94,False,False,False,True,False,14.077875591662238
Diego,2011,1300000,136138,30,79,54.94,69.0,70.0,0.0,0.84,39.4,0,4,0,237.0,54.94,False,False,False,True,False,14.077875591662238
Diego,2012,1300000,136138,30,79,54.94,69.0,70.0,0.0,0.84,39.4,0,4,0,237.0,54.94,False,False,False,True,False,14.077875591662238
Diego,2013,1300000,136138,30,79,54.94,69.0,70.0,0.0,0.84,39.4,0,4,0,237.0,54.94,False,False,False,True,False,14.077875591662238
Diego,2014,1300000,136138,30,79,54.94,69.0,70.0,0.0,0.84,39.4,0,4,0,237.0,54.94,False,False,False,True,False,14.077875591662238
Robinho,2009,300000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.611541086966115
Robinho,2010,300000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.611541086966115
Robinho,2011,175000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.07254696717504
Robinho,2014,300000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.611541086966115
Robinho,2015,300000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.611541086966115
Robinho,2020,200000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.206077645517674
Robinho,2021,200000,136144,34,77,52.58,58.25,56.67,0.0,0.824,46.1,0,8,0,77.0,52.58,False,False,False,True,False,12.206077645517674
Vágner Love,2015,750000,137809,34,76,50.64,73.5,75.0,0.0,0.978,16.2,0,8,0,152.0,50.64,False,True,False,False,False,13.527829818844937
Vágner Love,2016,750000,137809,34,76,50.64,73.5,75.0,0.0,0.978,16.2,0,8,0,152.0,50.64,False,True,False,False,False,13.527829818844937
Pedrinho,2011,50000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,10.819798284210286
Pedrinho,2015,50000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,10.819798284210286
Pedrinho,2016,500000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,13.122365377402328
Pedrinho,2017,50000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,10.819798284210286
Pedrinho,2018,50000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,10.819798284210286
Pedrinho,2020,17000000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,16.648723960844016
Pedrinho,2021,17000000,137823,31,72,44.04,64.0,66.0,0.0,0.933,27.3,0,5,1,288.0,44.04,False,True,False,False,False,16.648723960844016
Bruno Alves,2010,200000,138110,38,72,47.32,67.25,72.33,0.0,0.94,17.7,0,12,0,216.0,47.32,True,False,False,False,False,12.206077645517674
Bruno Alves,2015,100000,138110,38,72,47.32,67.25,72.33,0.0,0.94,17.7,0,12,0,216.0,47.32,True,False,False,False,False,11.51293546492023
Bruno Alves,2016,200000,138110,38,72,47.32,67.25,72.33,0.0,0.94,17.7,0,12,0,216.0,47.32,True,False,False,False,False,12.206077645517674
Bruno Alves,2017,200000,138110,38,72,47.32,67.25,72.33,0.0,0.94,17.7,0,12,0,216.0,47.32,True,False,False,False,False,12.206077645517674
Bruno Alves,2018,200000,138110,38,72,47.32,67.25,72.33,0.0,0.94,17.7,0,12,0,216.0,47.32,True,False,False,False,False,12.206077645517674
Bruno Alves,2021,200000,138110,38,72,47.32,67.25,72.33,0.0,0.94,17.7,0,12,0,216.0,47.32,True,False,False,False,False,12.206077645517674
Kaká,2020,150000,138449,35,80,53.72,57.5,69.67,0.0,0.855,49.5,0,9,0,320.0,53.72,False,False,False,True,False,11.918397239722838
Nani,2014,2000000,139068,33,80,55.34,61.0,75.67,0.19,0.86,38.9,0,7,0,160.0,56.391,False,True,False,False,False,14.508658238524095
Nani,2015,2000000,139068,33,80,55.34,61.0,75.67,0.19,0.86,38.9,0,7,0,160.0,56.391,False,True,False,False,False,14.508658238524095
Nani,2016,2000000,139068,33,80,55.34,61.0,75.67,0.19,0.86,38.9,0,7,0,160.0,56.391,False,True,False,False,False,14.508658238524095
Nani,2017,2000000,139068,33,80,55.34,61.0,75.67,0.19,0.86,38.9,0,7,0,160.0,56.391,False,True,False,False,False,14.508658238524095
Nani,2018,2000000,139068,33,80,55.34,61.0,75.67,0.19,0.86,38.9,0,7,0,160.0,56.391,False,True,False,False,False,14.508658238524095
Rafael,2013,900000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,13.710151153416941
Rafael,2015,2700000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,14.80876270134486
Rafael,2016,200000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,12.206077645517674
Rafael,2018,900000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,13.710151153416941
Rafael,2019,900000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,13.710151153416941
Rafael,2020,200000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,12.206077645517674
Rafael,2021,200000,140082,38,73,36.2,49.0,27.33,0.0,0.789,58.5,0,12,0,73.0,36.2,False,False,True,False,False,12.206077645517674
Jô,2009,1500000,140384,32,74,49.54,71.0,74.0,0.646,0.86,78.0,0,6,1,296.0,52.74,False,True,False,False,False,14.220976332738882
Jô,2010,1500000,140384,32,74,49.54,71.0,74.0,0.646,0.86,78.0,0,6,1,296.0,52.74,False,True,False,False,False,14.220976332738882
Jô,2011,1500000,140384,32,74,49.54,71.0,74.0,0.646,0.86,78.0,0,6,1,296.0,52.74,False,True,False,False,False,14.220976332738882
Jô,2012,25000,140384,32,74,49.54,71.0,74.0,0.646,0.86,78.0,0,6,1,296.0,52.74,False,True,False,False,False,10.12667110305036
Verza,2015,100000,142454,33,66,45.14,51.0,66.0,0.0,0.968,24.0,0,7,0,132.0,45.14,False,False,False,True,False,11.51293546492023
Verza,2017,100000,142454,33,66,45.14,51.0,66.0,0.0,0.968,24.0,0,7,0,132.0,45.14,False,False,False,True,False,11.51293546492023
Verza,2018,100000,142454,33,66,45.14,51.0,66.0,0.0,0.968,24.0,0,7,0,132.0,45.14,False,False,False,True,False,11.51293546492023
Mikel Rico,2013,300000,146111,35,73,47.86,70.25,70.33,0.525,0.906,32.0,0,9,0,146.0,50.373,False,False,False,True,False,12.611541086966115
Mikel Rico,2019,300000,146111,35,73,47.86,70.25,70.33,0.525,0.906,32.0,0,9,0,146.0,50.373,False,False,False,True,False,12.611541086966115
Andrés Fernández,2010,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Andrés Fernández,2011,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Andrés Fernández,2014,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Andrés Fernández,2015,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Andrés Fernández,2016,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Andrés Fernández,2017,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Andrés Fernández,2020,600000,146296,33,78,41.42,62.0,32.67,0.0,0.943,63.8,0,7,0,234.0,41.42,False,False,True,False,False,13.304686600863562
Dani Alves,2016,1000000,146530,35,82,56.32,71.0,80.0,0.476,0.89,32.5,0,9,0,164.0,59.001,False,False,False,True,False,13.815511557963774
Dani Alves,2017,1000000,146530,35,82,56.32,71.0,80.0,0.476,0.89,32.5,0,9,0,164.0,59.001,False,False,False,True,False,13.815511557963774
Dani Alves,2019,1000000,146530,35,82,56.32,71.0,80.0,0.476,0.89,32.5,0,9,0,164.0,59.001,False,False,False,True,False,13.815511557963774
Dani Alves,2021,1000000,146530,35,82,56.32,71.0,80.0,0.476,0.89,32.5,0,9,0,164.0,59.001,False,False,False,True,False,13.815511557963774
Jesús Navas,2013,3000000,146536,34,84,57.06,68.25,77.0,0.0,0.907,27.6,0,8,0,336.0,57.06,True,False,False,False,False,14.914123179965662
Jesús Navas,2017,3000000,146536,34,84,57.06,68.25,77.0,0.0,0.907,27.6,0,8,0,336.0,57.06,True,False,False,False,False,14.914123179965662
Santi Cazorla,2011,2000000,146562,35,82,56.28,58.25,74.33,-0.34,0.774,111.4,0,9,0,328.0,54.366,False,False,False,True,False,14.508658238524095
Santi Cazorla,2012,2000000,146562,35,82,56.28,58.25,74.33,-0.34,0.774,111.4,0,9,0,328.0,54.366,False,False,False,True,False,14.508658238524095
Santi Cazorla,2018,2000000,146562,35,82,56.28,58.25,74.33,-0.34,0.774,111.4,0,9,0,328.0,54.366,False,False,False,True,False,14.508658238524095
Santi Cazorla,2020,2000000,146562,35,82,56.28,58.25,74.33,-0.34,0.774,111.4,0,9,0,328.0,54.366,False,False,False,True,False,14.508658238524095
Dani Giménez,2013,100000,146637,35,72,36.42,42.5,29.67,0.266,0.987,30.0,0,9,0,216.0,37.389,False,False,True,False,False,11.51293546492023
Dani Giménez,2018,100000,146637,35,72,36.42,42.5,29.67,0.266,0.987,30.0,0,9,0,216.0,37.389,False,False,True,False,False,11.51293546492023
Nenê,2009,750000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,13.527829818844937
Nenê,2010,750000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,13.527829818844937
Nenê,2012,750000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,13.527829818844937
Nenê,2014,750000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,13.527829818844937
Nenê,2015,750000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,13.527829818844937
Nenê,2018,50000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,10.819798284210286
Nenê,2020,50000,146692,32,76,52.94,63.0,72.67,0.0,0.882,52.3,0,6,1,0.0,52.94,False,True,False,False,False,10.819798284210286
Anderson Silva,2021,2000000,146717,26,68,41.92,68.25,61.67,0.278,0.901,55.2,1,0,0,272.0,43.085,False,False,False,True,False,14.508658238524095
Diego López,2012,500000,146748,38,76,38.58,52.5,30.67,0.0,0.918,40.6,0,12,0,304.0,38.58,False,False,True,False,False,13.122365377402328
Diego López,2014,500000,146748,38,76,38.58,52.5,30.67,0.0,0.918,40.6,0,12,0,304.0,38.58,False,False,True,False,False,13.122365377402328
Diego López,2016,500000,146748,38,76,38.58,52.5,30.67,0.0,0.918,40.6,0,12,0,304.0,38.58,False,False,True,False,False,13.122365377402328
Diego López,2017,500000,146748,38,76,38.58,52.5,30.67,0.0,0.918,40.6,0,12,0,304.0,38.58,False,False,True,False,False,13.122365377402328
Juanfran,2013,1000000,146760,33,80,53.08,74.0,68.0,0.0,0.955,24.9,0,7,0,640.0,53.08,True,False,False,False,False,13.815511557963774
Juanfran,2014,1000000,146760,33,80,53.08,74.0,68.0,0.0,0.955,24.9,0,7,0,640.0,53.08,True,False,False,False,False,13.815511557963774
Juanfran,2016,1000000,146760,33,80,53.08,74.0,68.0,0.0,0.955,24.9,0,7,0,640.0,53.08,True,False,False,False,False,13.815511557963774
Juanfran,2017,1000000,146760,33,80,53.08,74.0,68.0,0.0,0.955,24.9,0,7,0,640.0,53.08,True,False,False,False,False,13.815511557963774
Juanfran,2018,1000000,146760,33,80,53.08,74.0,68.0,0.0,0.955,24.9,0,7,0,640.0,53.08,True,False,False,False,False,13.815511557963774
Juanfran,2019,1000000,146760,33,80,53.08,74.0,68.0,0.0,0.955,24.9,0,7,0,640.0,53.08,True,False,False,False,False,13.815511557963774
Iván Cuéllar,2017,100000,146952,36,77,40.46,58.25,31.67,0.0,0.875,46.3,0,10,1,308.0,40.46,False,False,True,False,False,11.51293546492023
Ricardo Vaz Tê,2010,100000,152718,33,71,48.58,72.75,73.67,0.0,0.861,68.8,0,7,0,71.0,48.58,False,True,False,False,False,11.51293546492023
Ricardo Vaz Tê,2014,100000,152718,33,71,48.58,72.75,73.67,0.0,0.861,68.8,0,7,0,71.0,48.58,False,True,False,False,False,11.51293546492023
Ricardo Vaz Tê,2019,100000,152718,33,71,48.58,72.75,73.67,0.0,0.861,68.8,0,7,0,71.0,48.58,False,True,False,False,False,11.51293546492023
Ricardo Vaz Tê,2021,100000,152718,33,71,48.58,72.75,73.67,0.0,0.861,68.8,0,7,0,71.0,48.58,False,True,False,False,False,11.51293546492023
Jorge Molina,2016,1000000,154472,38,78,49.86,52.75,81.0,0.0,0.939,54.0,0,12,0,156.0,49.86,False,True,False,False,False,13.815511557963774
Jorge Molina,2020,1000000,154472,38,78,49.86,52.75,81.0,0.0,0.939,54.0,0,12,0,156.0,49.86,False,True,False,False,False,13.815511557963774
Sergio Ramos,2021,10000000,155862,34,89,58.26,82.75,84.33,0.388,0.892,31.9,0,8,0,1424.0,60.52,True,False,False,False,False,16.118095750958314
Ederson,2012,50000000,156272,28,74,51.34,66.0,72.67,0.0,0.746,41.8,1,2,0,370.0,51.34,False,True,False,False,False,17.72753358339242
Ederson,2015,50000000,156272,28,74,51.34,66.0,72.67,0.0,0.746,41.8,1,2,0,370.0,51.34,False,True,False,False,False,17.72753358339242
Ederson,2017,50000000,156272,28,74,51.34,66.0,72.67,0.0,0.746,41.8,1,2,0,370.0,51.34,False,True,False,False,False,17.72753358339242
Manuel Fernandes,2010,200000,157960,32,79,54.36,75.0,74.33,0.0,0.872,37.9,0,6,0,474.0,54.36,False,False,False,True,False,12.206077645517674
Manuel Fernandes,2011,200000,157960,32,79,54.36,75.0,74.33,0.0,0.872,37.9,0,6,0,474.0,54.36,False,False,False,True,False,12.206077645517674
Salva Sevilla,2014,300000,158144,36,74,49.54,48.5,71.33,0.0,0.937,46.7,0,10,0,296.0,49.54,False,False,False,True,False,12.611541086966115
Salva Sevilla,2017,300000,158144,36,74,49.54,48.5,71.33,0.0,0.937,46.7,0,10,0,296.0,49.54,False,False,False,True,False,12.611541086966115
Dante,2012,1000000,158625,36,76,47.72,60.25,71.33,0.317,0.821,53.1,0,10,1,380.0,49.233,True,False,False,False,False,13.815511557963774
Dante,2015,1000000,158625,36,76,47.72,60.25,71.33,0.317,0.821,53.1,0,10,1,380.0,49.233,True,False,False,False,False,13.815511557963774
Dante,2016,1000000,158625,36,76,47.72,60.25,71.33,0.317,0.821,53.1,0,10,1,380.0,49.233,True,False,False,False,False,13.815511557963774
Abraham González,2013,250000,159566,33,66,44.68,55.5,66.33,0.0,0.951,72.0,0,7,0,132.0,44.68,False,False,False,True,False,12.429220196836383
Abraham González,2016,250000,159566,33,66,44.68,55.5,66.33,0.0,0.951,72.0,0,7,0,132.0,44.68,False,False,False,True,False,12.429220196836383
Fred,2018,22000000,160774,31,77,51.2,64.75,76.67,0.0,0.889,45.0,0,5,0,693.0,51.2,False,True,False,False,False,16.906553056777135
Javi García,2009,600000,161754,33,75,48.22,73.75,79.67,0.0,0.951,20.0,0,7,0,225.0,48.22,True,False,False,False,False,13.304686600863562
Javi García,2012,600000,161754,33,75,48.22,73.75,79.67,0.0,0.951,20.0,0,7,0,225.0,48.22,True,False,False,False,False,13.304686600863562
Javi García,2014,600000,161754,33,75,48.22,73.75,79.67,0.0,0.951,20.0,0,7,0,225.0,48.22,True,False,False,False,False,13.304686600863562
Javi García,2017,600000,161754,33,75,48.22,73.75,79.67,0.0,0.951,20.0,0,7,0,225.0,48.22,True,False,False,False,False,13.304686600863562
Javi García,2020,600000,161754,33,75,48.22,73.75,79.67,0.0,0.951,20.0,0,7,0,225.0,48.22,True,False,False,False,False,13.304686600863562
João Moutinho,2010,4000000,162347,33,83,56.44,66.5,78.0,0.0,0.844,46.2,0,7,0,332.0,56.44,False,False,False,True,False,15.201805169084134
João Moutinho,2013,4000000,162347,33,83,56.44,66.5,78.0,0.0,0.844,46.2,0,7,0,332.0,56.44,False,False,False,True,False,15.201805169084134
João Moutinho,2018,4000000,162347,33,83,56.44,66.5,78.0,0.0,0.844,46.2,0,7,0,332.0,56.44,False,False,False,True,False,15.201805169084134
Cesc Fàbregas,2011,5000000,162895,33,75,50.5,51.0,69.33,0.795,0.883,34.7,0,7,0,225.0,54.515,False,False,False,True,False,15.424948670398354
Cesc Fàbregas,2014,5000000,162895,33,75,50.5,51.0,69.33,0.795,0.883,34.7,0,7,0,225.0,54.515,False,False,False,True,False,15.424948670398354
Cesc Fàbregas,2018,5000000,162895,33,75,50.5,51.0,69.33,0.795,0.883,34.7,0,7,0,225.0,54.515,False,False,False,True,False,15.424948670398354
Eduardo,2016,400000,163873,36,72,37.6,51.5,28.33,0.0,0.628,59.0,0,10,0,144.0,37.6,False,False,True,False,False,12.899222326086994
