ID,Name,Age,OVA,Nationality,Club,BP,foot,Attacking,Heading Accuracy,Short Passing,Skill,Movement,Acceleration,Shot Power,Jumping,Stamina,Strength,Height_cm,Weight_kg,Contract_Years,total_injuries,total_days_missed,total_games_missed,avg_days_per_injury,injury_risk_score,latest_market_val,latest_season,avg_sentiment,sentiment_label,sentiment_count
251438,Nuno Santos,21,69,Portugal,Boavista FC,CAM,Right,290,52,74,329,374,79,72,59.0,68,63,165.1,58.1,4.0,11,785,113,71.4,71.4,2000000.0,2020.0,0.289,positive,5.0
223334,Joelinton,23,75,Brazil,Newcastle United,ST,Right,332,75,73,295,362,75,81,76.0,75,85,185.4,81.2,5.0,15,327,45,21.8,21.8,17000000.0,2019.0,0.192,positive,5.0
182002,Sidnei,30,79,Brazil,Real Betis,CB,Right,301,77,78,280,299,69,74,81.0,65,93,185.4,79.8,4.0,15,320,44,21.3,21.3,2000000.0,2021.0,0.754,positive,5.0
205340,Marcelo,30,68,Brazil,FC Paços de Ferreira,CB,Right,216,66,61,215,312,63,35,85.0,55,68,182.9,73.9,1.0,21,536,81,25.5,25.5,1500000.0,2020.0,0.24,positive,5.0
190483,Douglas Costa,29,84,Brazil,Juventus,LM,Left,355,50,83,410,450,94,86,60.0,68,56,172.7,69.9,4.0,15,589,73,39.3,39.3,6000000.0,2020.0,0.487,positive,5.0
193064,Carlos David,34,65,Spain,FC Cartagena,CB,Right,233,66,59,202,281,61,46,71.0,69,79,182.9,79.8,2.0,3,114,16,38.0,38.0,100000.0,2018.0,0.213,positive,5.0
244260,Dani Olmo,22,79,Spain,RB Leipzig,CAM,Right,349,43,78,390,379,77,79,55.0,79,54,177.8,72.1,4.0,12,370,84,30.8,30.8,50000000.0,2019.0,0.265,positive,5.0
244389,Fernando,21,71,Brazil,Shakhtar Donetsk,CAM,Right,266,36,66,298,388,87,58,43.0,54,42,175.3,68.9,6.0,38,2281,333,60.0,60.0,2000000.0,2020.0,0.424,positive,5.0
201942,Roberto Firmino,28,87,Brazil,Liverpool,CF,Right,400,75,87,403,416,78,82,81.0,88,74,180.3,76.2,8.0,15,291,62,19.4,19.4,40000000.0,2015.0,0.268,positive,5.0
243812,Rodrygo,19,79,Brazil,Real Madrid,RM,Right,352,62,73,374,424,88,71,73.0,81,45,175.3,64.0,6.0,14,203,37,14.5,14.5,35000000.0,2019.0,0.204,positive,5.0
236499,Douglas Luiz,22,75,Brazil,Aston Villa,CDM,Right,330,62,77,352,359,65,76,66.0,73,68,177.8,69.9,4.0,9,210,36,23.3,23.3,35000000.0,2019.0,-0.238,negative,5.0
236632,David Neres,23,80,Brazil,Ajax,CAM,Left,337,45,78,362,426,86,74,56.0,73,64,175.3,66.2,6.0,15,632,86,42.1,42.1,22000000.0,2016.0,0.658,positive,5.0
184826,Adrien Silva,31,76,Portugal,Leicester City,CM,Right,351,61,79,386,314,53,79,51.0,69,63,175.3,68.9,3.0,11,234,62,21.3,21.3,3000000.0,2020.0,0.332,positive,5.0
207943,Ewerton,27,67,Brazil,Urawa Red Diamonds,CDM,Right,295,58,69,321,308,57,72,83.0,75,66,180.3,73.0,4.0,25,376,58,15.0,15.0,1500000.0,2020.0,0.216,positive,4.0
239881,Danilo,21,65,Brazil,FC Twente,CAM,Right,296,58,61,307,360,75,58,61.0,67,61,175.3,66.2,4.0,48,1512,244,31.5,31.5,2000000.0,2020.0,0.062,positive,4.0
203846,Kelvin,23,73,Brazil,FC Porto,LW,Left,324,58,64,363,406,86,72,52.0,59,37,172.7,67.1,7.0,2,246,37,123.0,123.0,450000.0,2018.0,-0.423,negative,4.0
251566,Gabriel Martinelli,19,74,Brazil,Arsenal,LW,Right,336,68,67,315,408,87,68,43.0,76,61,180.3,68.9,4.0,8,306,62,38.2,38.2,22000000.0,2019.0,0.151,positive,4.0
241464,Pau Torres,23,78,Spain,Villarreal CF,CB,Left,268,79,77,284,315,66,48,74.0,78,75,190.5,79.8,8.0,5,143,31,28.6,28.6,50000000.0,2019.0,0.447,positive,4.0
183666,Roberto,34,75,Spain,Real Valladolid CF,GK,Right,99,19,38,105,269,45,55,74.0,32,79,193.0,96.2,3.0,10,248,41,24.8,24.8,700000.0,2020.0,0.413,positive,4.0
247843,Robinho,22,65,Portugal,Os Belenenses,CAM,Right,287,37,68,309,373,74,64,42.0,66,40,170.2,58.1,6.0,17,784,140,46.1,46.1,2000000.0,2020.0,0.438,positive,4.0
239580,Bremer,23,71,Brazil,Torino,CB,Right,243,75,66,217,305,58,49,74.0,48,75,188.0,79.8,5.0,10,389,61,38.9,38.9,15000000.0,2018.0,0.364,positive,4.0
210514,João Cancelo,26,83,Portugal,Manchester City,RWB,Right,352,68,81,395,409,87,80,72.0,89,60,182.9,73.9,6.0,12,322,62,26.8,26.8,55000000.0,2019.0,0.116,positive,4.0
178088,Juan Mata,32,79,Spain,Manchester United,CAM,Left,360,56,84,412,364,61,74,61.0,60,34,170.2,63.0,7.0,5,119,26,23.8,23.8,4000000.0,2013.0,0.342,positive,4.0
233585,Lincoln,21,70,Brazil,Santa Clara,CAM,Left,310,50,68,353,382,78,68,61.0,64,50,177.8,72.1,3.0,20,840,137,42.0,42.0,2000000.0,2019.0,0.245,positive,4.0
247832,Thierry Correia,21,72,Portugal,Valencia CF,RB,Right,281,58,67,311,383,79,52,74.0,71,62,175.3,68.9,5.0,9,559,76,62.1,62.1,9000000.0,2019.0,0.43,positive,4.0
236924,Bruno Wilson,23,71,Portugal,CD Tenerife,CB,Right,241,72,62,218,251,55,46,65.0,69,79,190.5,79.8,4.0,8,393,56,49.1,49.1,1000000.0,2021.0,0.377,positive,4.0
208104,Matheus,27,79,Brazil,SC Braga,GK,Right,81,14,27,103,259,44,54,63.0,32,71,190.5,83.9,9.0,7,2612,139,373.1,373.1,1000000.0,2020.0,0.486,positive,4.0
251182,Iago,23,75,Brazil,FC Augsburg,LB,Left,305,68,72,312,368,75,63,65.0,76,69,180.3,68.0,5.0,15,481,64,32.1,32.1,1200000.0,2020.0,0.221,positive,4.0
234568,Gedson Fernandes,21,75,Portugal,Tottenham Hotspur,CAM,Right,336,61,76,369,375,77,80,71.0,77,71,180.3,71.2,4.0,7,157,28,22.4,22.4,12500000.0,2021.0,-0.308,negative,4.0
241461,Ferran Torres,20,81,Spain,Manchester City,RM,Right,376,70,80,358,389,88,76,75.0,73,66,182.9,77.1,5.0,7,245,54,35.0,35.0,50000000.0,2020.0,0.357,positive,4.0
206652,Sergio Rico,26,77,Spain,Paris Saint-Germain,GK,Right,85,11,28,96,273,48,58,63.0,36,52,195.6,89.8,4.0,6,435,62,72.5,72.5,5000000.0,2020.0,0.452,positive,4.0
200315,Cristian Tello,28,78,Spain,Real Betis,LM,Right,340,47,74,388,410,88,79,71.0,70,61,177.8,64.9,5.0,11,227,42,20.6,20.6,7500000.0,2017.0,0.016,neutral,4.0
176266,Lucas Leiva,33,84,Brazil,Lazio,CDM,Right,338,72,82,358,359,62,77,81.0,80,61,177.8,78.0,5.0,15,404,49,26.9,26.9,3500000.0,2017.0,0.508,positive,4.0
252282,Breno,20,63,Portugal,Boavista FC,LB,Left,216,48,52,231,342,72,31,56.0,65,58,177.8,67.1,4.0,2,577,75,288.5,288.5,1200000.0,2020.0,0.594,positive,4.0
180403,Willian,31,82,Brazil,Arsenal,RW,Right,323,31,80,414,409,86,84,32.0,77,59,175.3,77.1,3.0,15,187,30,12.5,12.5,9000000.0,2021.0,0.369,positive,4.0
252086,Son,26,71,Spain,Levante UD,RB,Right,281,63,67,289,352,75,44,64.0,79,65,177.8,72.1,4.0,2,31,3,15.5,15.5,800000.0,2020.0,-0.125,negative,4.0
205566,Alberto Moreno,27,77,Spain,Villarreal CF,LB,Left,312,61,74,326,412,82,80,86.0,76,59,170.2,64.9,5.0,12,837,126,69.8,69.8,2500000.0,2019.0,0.285,positive,4.0
192490,Juan Villar,32,70,Spain,UD Almería,RW,Right,331,62,64,345,407,86,72,88.0,71,70,182.9,72.1,3.0,7,183,29,26.1,26.1,300000.0,2020.0,0.062,positive,4.0
203236,Juninho,30,65,Brazil,Club Blooming,LB,Left,234,49,59,224,324,60,21,60.0,70,45,170.2,64.0,4.0,11,526,81,47.8,47.8,1200000.0,2020.0,0.193,positive,4.0
197688,Gabriel Silva,29,74,Brazil,AS Saint-Étienne,LWB,Left,316,53,75,345,361,72,72,71.0,73,62,177.8,74.8,6.0,10,484,58,48.4,48.4,1500000.0,2017.0,-0.096,negative,4.0
192715,Juanpe,29,70,Spain,Girona FC,CB,Right,224,70,71,233,236,42,48,71.0,72,84,190.5,84.8,6.0,6,257,36,42.8,42.8,1500000.0,2016.0,0.198,positive,4.0
213956,Adama Traoré,24,79,Spain,Wolverhampton Wanderers,RM,Right,309,40,72,338,432,97,78,79.0,77,87,177.8,72.1,5.0,42,2094,352,49.9,49.9,2500000.0,2020.0,0.372,positive,4.0
191043,Alex Sandro,29,85,Brazil,Juventus,LB,Left,364,76,81,369,400,78,80,79.0,90,77,180.3,79.8,8.0,15,265,48,17.7,17.7,20000000.0,2015.0,0.356,positive,4.0
192678,Kike García,30,77,Spain,SD Eibar,ST,Right,371,81,78,289,309,61,81,72.0,66,76,185.4,78.9,5.0,10,400,71,40.0,40.0,2800000.0,2021.0,0.113,positive,4.0
215639,Kenedy,24,76,Brazil,Granada CF,LM,Left,334,66,72,357,371,76,75,68.0,67,67,182.9,77.1,4.0,11,428,58,38.9,38.9,10000000.0,2021.0,0.097,positive,4.0
158625,Dante,36,76,Brazil,OGC Nice,CB,Left,305,78,74,313,248,33,62,65.0,60,83,188.0,91.2,5.0,15,797,126,53.1,53.1,1000000.0,2016.0,0.317,positive,4.0
189362,Hulk,33,80,Brazil,Shanghai SIPG FC,LW,Left,376,71,78,395,402,83,94,74.0,85,89,180.3,84.8,3.0,15,287,47,19.1,19.1,2500000.0,2012.0,0.297,positive,4.0
211243,Nono,29,69,Spain,CD Tenerife,LM,Right,327,64,68,333,392,79,77,70.0,72,57,170.2,69.9,2.0,5,350,39,70.0,70.0,500000.0,2015.0,0.492,positive,4.0
155862,Sergio Ramos,34,89,Spain,Real Madrid,CB,Right,374,92,82,381,378,72,79,93.0,81,85,182.9,82.1,16.0,15,479,82,31.9,31.9,10000000.0,2021.0,0.388,positive,4.0
230666,Gabriel Jesus,23,83,Brazil,Manchester City,ST,Right,382,77,77,368,438,87,81,78.0,79,65,175.3,73.0,7.0,15,639,104,42.6,42.6,60000000.0,2016.0,0.268,positive,4.0
213795,Kiki,23,64,Portugal,Os Belenenses,LWB,Left,272,60,64,266,327,68,61,65.0,63,68,180.3,73.9,4.0,5,1048,110,209.6,209.6,350000.0,2019.0,0.567,positive,4.0
218667,Bernardo Silva,25,87,Portugal,Manchester City,RW,Left,371,51,86,411,434,85,76,51.0,93,54,172.7,64.0,8.0,9,151,28,16.8,16.8,70000000.0,2017.0,0.178,positive,4.0
221639,Mariano,26,77,Dominican Republic,Real Madrid,ST,Right,345,80,66,348,382,78,85,92.0,76,78,180.3,76.2,5.0,11,204,32,18.5,18.5,1500000.0,2020.0,0.724,positive,4.0
220834,Marco Asensio,24,82,Spain,Real Madrid,CAM,Left,375,57,81,409,391,79,86,58.0,76,61,182.9,76.2,8.0,15,505,93,33.7,33.7,35000000.0,2016.0,0.399,positive,4.0
229337,Matheus Pereira,22,69,Brazil,FC Barcelona,CAM,Left,306,52,68,354,357,69,58,57.0,69,55,180.3,68.0,5.0,6,154,21,25.7,25.7,2000000.0,2020.0,0.386,positive,4.0
229321,Amilton,30,71,Brazil,Antalyaspor,RM,Right,298,43,65,306,416,90,77,49.0,72,57,172.7,66.2,2.0,7,142,19,20.3,20.3,900000.0,2019.0,0.364,positive,4.0
229221,William,25,76,Brazil,VfL Wolfsburg,RWB,Right,262,50,75,348,384,78,76,68.0,74,63,170.2,67.1,5.0,12,1160,84,96.7,96.7,2900000.0,2020.0,0.118,positive,4.0
220171,Wanderson,32,69,Bulgaria,Bulgaria,CF,Right,301,42,67,329,375,78,71,42.0,67,51,167.6,60.8,4.0,15,769,117,51.3,51.3,700000.0,2020.0,0.019,neutral,4.0
220184,Jorginho,21,68,Guinea Bissau,AS Saint-Étienne,RM,Right,289,33,64,284,376,79,74,68.0,74,53,170.2,68.0,4.0,8,604,86,75.5,75.5,1000000.0,2020.0,0.207,positive,4.0
223033,Jorge Meré,23,72,Spain,1. FC Köln,CB,Right,227,72,70,259,338,69,48,81.0,68,73,182.9,79.8,6.0,9,353,17,39.2,39.2,3500000.0,2017.0,0.193,positive,4.0
189332,Jordi Alba,31,86,Spain,FC Barcelona,LB,Left,372,70,84,387,433,88,64,80.0,88,61,170.2,68.0,12.0,15,264,52,17.6,17.6,15000000.0,2012.0,0.408,positive,4.0
212474,Tiago Silva,27,72,Portugal,Nottingham Forest,CAM,Right,317,49,74,361,369,73,78,58.0,69,39,170.2,62.1,2.0,7,242,15,34.6,34.6,1500000.0,2021.0,0.399,positive,4.0
37576,Ronaldo,33,77,Brazil,Corinthians,CAM,Right,380,64,80,383,295,61,81,44.0,37,81,182.9,94.8,3.0,40,2322,391,58.0,58.0,700000.0,2017.0,0.299,positive,4.0
231943,Richarlison,23,81,Brazil,Everton,ST,Right,387,81,77,364,395,79,82,83.0,82,77,180.3,71.2,6.0,15,485,75,32.3,32.3,55000000.0,2018.0,0.414,positive,4.0
164029,Charles,35,78,Brazil,SD Eibar,ST,Right,359,78,74,336,342,62,82,85.0,58,70,177.8,76.2,3.0,12,284,34,23.7,23.7,400000.0,2021.0,-0.151,negative,4.0
197965,Pizzi,30,84,Portugal,Portugal,RM,Right,366,45,85,411,388,78,76,67.0,85,59,177.8,72.1,4.0,4,35,6,8.8,8.8,10000000.0,2014.0,-0.015,neutral,4.0
198706,Luis Alberto,27,85,Spain,Lazio,CAM,Right,368,49,90,430,383,76,77,53.0,75,64,182.9,73.9,9.0,15,125,28,8.3,8.3,40000000.0,2016.0,0.273,positive,4.0
211575,André Gomes,26,79,Portugal,Everton,CM,Right,350,69,83,390,314,55,81,59.0,71,79,188.0,83.9,5.0,17,791,116,46.5,46.5,20000000.0,2019.0,0.295,positive,4.0
212710,Joel Pereira,24,66,Portugal,Huddersfield Town,GK,Right,76,11,36,71,227,43,49,54.0,34,56,188.0,69.9,4.0,6,325,39,54.2,54.2,300000.0,2021.0,0.458,positive,4.0
232886,Caio,25,75,Brazil,SL Benfica,RW,Right,344,62,70,358,414,85,74,64.0,65,48,172.7,68.9,4.0,3,74,16,24.7,24.7,1400000.0,2020.0,0.101,positive,4.0
223952,David Soria,27,82,Spain,Getafe CF,GK,Right,101,24,24,102,254,49,54,61.0,43,75,193.0,84.8,4.0,5,134,20,26.8,26.8,9000000.0,2018.0,0.576,positive,4.0
258889,Nathan,18,63,Brazil,Boavista FC,RB,Right,241,43,58,269,344,75,41,53.0,50,54,182.9,71.2,4.0,3,122,11,40.7,40.7,800000.0,2020.0,0.193,positive,4.0
231866,Rodri,24,85,Spain,Manchester City,CDM,Right,346,75,85,359,350,66,74,69.0,84,79,190.5,82.1,5.0,9,896,138,99.6,99.6,1500000.0,2020.0,0.133,positive,4.0
202651,Suso,26,81,Spain,Sevilla FC,CAM,Left,360,50,84,417,393,79,78,51.0,74,55,175.3,69.9,5.0,14,421,93,30.1,30.1,18000000.0,2020.0,-0.169,negative,4.0
212406,Jordi,26,70,Brazil,FC Paços de Ferreira,GK,Right,79,12,25,97,236,44,53,57.0,31,63,193.0,81.2,2.0,2,410,50,205.0,205.0,1000000.0,2020.0,0.353,positive,4.0
244621,Vinícius,25,79,Brazil,SL Benfica,ST,Left,342,70,68,303,338,74,84,52.0,77,89,190.5,83.0,5.0,15,1027,129,68.5,68.5,1500000.0,2020.0,0.134,positive,4.0
241973,Chris Ramos,23,66,Spain,Real Valladolid CF,ST,Right,286,69,56,246,310,72,66,76.0,53,73,193.0,79.8,3.0,3,39,6,13.0,13.0,300000.0,2020.0,-0.363,negative,4.0
202445,Rodrigo Ely,26,75,Brazil,Deportivo Alavés,CB,Right,208,73,64,199,271,53,52,72.0,55,91,188.0,83.0,4.0,15,865,122,57.7,57.7,2200000.0,2021.0,-0.229,negative,3.0
244407,Pol Lozano,20,63,Spain,RCD Espanyol,CAM,Right,249,41,68,286,319,64,57,59.0,61,48,175.3,68.0,6.0,1,39,7,39.0,39.0,800000.0,2021.0,0.318,positive,3.0
239818,Rúben Dias,23,81,Portugal,Manchester City,CB,Right,248,82,73,250,318,63,74,78.0,86,80,188.0,82.1,3.0,8,188,45,23.5,23.5,75000000.0,2020.0,0.198,positive,3.0
192638,Marcos Alonso,29,81,Spain,Chelsea,LB,Left,396,83,83,403,333,67,84,73.0,91,76,188.0,84.8,7.0,12,482,87,40.2,40.2,15000000.0,2016.0,0.387,positive,3.0
194404,Neto,30,82,Brazil,FC Barcelona,GK,Right,88,14,36,109,294,56,59,83.0,41,63,190.5,83.9,4.0,13,1490,257,114.6,114.6,175000.0,2019.0,0.189,positive,3.0
198715,Sergio León,31,74,Spain,Levante UD,ST,Right,349,70,68,337,370,77,80,73.0,67,63,177.8,73.0,3.0,1,9,2,9.0,9.0,1200000.0,2021.0,0.47,positive,3.0
201995,Felipe Anderson,27,81,Brazil,West Ham United,LM,Right,345,44,79,393,428,88,85,33.0,68,55,175.3,69.9,4.0,13,427,65,32.8,32.8,10000000.0,2021.0,0.322,positive,3.0
201305,Gabriel Paulista,29,82,Brazil,Valencia CF,CB,Right,318,81,80,306,349,69,61,83.0,80,82,185.4,72.1,5.0,15,518,76,34.5,34.5,15000000.0,2017.0,0.606,positive,3.0
184943,Ramires,31,80,Brazil,Jiangsu Suning FC,CDM,Right,353,75,78,352,395,82,75,81.0,85,65,177.8,68.9,0.0,3,75,14,25.0,25.0,800000.0,2015.0,-0.043,neutral,3.0
245564,Vinicius,21,62,Brazil,Bologna,GK,Right,79,10,34,105,279,58,41,64.0,36,64,188.0,82.1,5.0,3,202,31,67.3,67.3,150000.0,2013.0,0.234,positive,3.0
242816,Riqui Puig,20,75,Spain,FC Barcelona,CAM,Right,308,49,82,360,374,69,60,55.0,66,62,170.2,55.8,3.0,3,313,44,104.3,104.3,15000000.0,2020.0,0.083,positive,3.0
186568,Marcos Paulo,25,69,Brazil,Associação Académica de Coimbra,CAM,Right,296,60,73,351,340,68,76,71.0,73,65,180.3,78.0,3.0,5,396,60,79.2,79.2,9000000.0,2021.0,0.453,positive,3.0
247204,Emerson,21,78,Brazil,Real Betis,RB,Right,321,68,77,330,377,79,77,78.0,79,74,180.3,78.9,2.0,12,778,156,64.8,64.8,800000.0,2020.0,0.068,positive,3.0
242444,João Félix,20,81,Portugal,Atlético Madrid,CAM,Right,381,69,77,378,410,79,82,79.0,75,64,180.3,69.9,7.0,15,319,49,21.3,21.3,70000000.0,2019.0,0.388,positive,3.0
189172,Fidel,30,72,Spain,Elche CF,LM,Left,318,46,64,342,374,74,72,75.0,71,61,180.3,73.9,3.0,3,84,13,28.0,28.0,2000000.0,2014.0,-0.046,neutral,3.0
199576,Oriol Romeu,28,75,Spain,Southampton,CDM,Right,243,69,77,301,267,50,60,65.0,69,79,182.9,83.0,6.0,11,480,112,43.6,43.6,6000000.0,2015.0,0.032,neutral,3.0
189169,Jonathas,31,73,Brazil,Elche CF,ST,Right,346,77,64,264,323,66,79,76.0,57,86,190.5,81.2,0.0,15,370,41,24.7,24.7,900000.0,2020.0,0.315,positive,3.0
198213,Leandro Damião,30,73,Brazil,Kawasaki Frontale,ST,Right,338,77,67,321,265,43,76,46.0,64,89,188.0,89.8,2.0,4,200,24,50.0,50.0,1700000.0,2016.0,0.26,positive,3.0
241933,Monchu,20,64,Spain,Girona FC,CAM,Right,278,55,72,287,332,66,62,65.0,53,36,172.7,64.9,4.0,4,53,5,13.2,13.2,4000000.0,2021.0,0.745,positive,3.0
259075,Yan Couto,18,64,Brazil,Girona FC,RWB,Right,260,49,60,283,371,82,57,65.0,71,44,167.6,62.1,5.0,4,55,10,13.8,13.8,4000000.0,2021.0,0.096,positive,3.0
251573,Renan Lodi,22,81,Brazil,Atlético Madrid,LB,Left,348,68,76,375,413,85,76,76.0,84,69,172.7,68.0,6.0,10,76,17,7.6,7.6,25000000.0,2019.0,-0.115,negative,3.0
234570,Jota,21,72,Portugal,SL Benfica,RM,Right,319,60,65,352,407,86,74,80.0,61,41,175.3,67.1,8.0,11,716,95,65.1,65.1,1000000.0,2020.0,-0.268,negative,3.0
210257,Ederson,26,88,Brazil,Manchester City,GK,Left,123,14,57,157,322,64,70,66.0,41,78,188.0,86.2,7.0,27,1129,188,41.8,41.8,1000000.0,2020.0,0.353,positive,3.0
233943,Ronaldo Vieira,21,72,England,Sampdoria,CDM,Right,286,53,74,323,367,73,65,67.0,77,75,177.8,69.9,5.0,13,770,105,59.2,59.2,5000000.0,2021.0,0.278,positive,3.0
